stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,34.91,198.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.94,440.41,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.78,0,3.5,0,0,16.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.97,9.37,0,0,35.88,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.93,0,0,0,0,17.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.33,10.73,0,0,29.19,0,0,0,0,4.43,0,0,0,0,0,0,0
 14-21,0,0,2.21,0,7.84,1.03,3.92,0,0.87,0,1.23,0,0,1.26,0,0,0,0.93,3.37,1.71,7.38,0,2.81,146.54,2.8,4.79,0.96,0,0,0,0,6.46,0.99,6.95,75.16,0,0,6.59,0,5.96
 24-34,0,0,0,0.67,4.49,0,8.67,0,0.92,0,6.06,0,0,1.35,0,0,0,1.21,0,7.37,11.29,0,2.5,531.3,1.4,82.91,0,0,0,4.22,0,0,0.6,0.75,106.65,0,0,2.93,0,0
 36-46,0,0,0,0,9.97,0,21.1,0,0,0.78,9.48,0,0,4.26,0,0,0,0.77,0,0,19.23,0.89,7.08,1038.26,0,65.31,0,0,0,0,0.81,0,0.58,0,212.01,0,0,12.93,0,1.13
 48-58,0,0,0,0,13.37,0,114.22,0,0,1.46,28.4,0,0,1.23,0.71,12.9,0.41,0,0,4.24,22.89,2.19,15.21,1325.32,0,53,0,0,0,6.43,0,0,0,0,274.74,0,0,1.56,0,6.75
 60-70,0,0,0,0,7.89,0,340.96,0,0,1.58,70.55,1.26,0,0.59,0,0,0,6.04,0,1.03,43.77,0.85,2.15,2347.4,0,36.62,0,0,0,1.98,0,0,0,0,339.49,0.81,0,3.36,0,19.01
 72-82,0,0,4.7,0,9.36,2.74,341.8,0.95,4.8,1.09,161.45,5.71,0,1.66,3.51,2.09,0,1.4,0,0.64,76.79,7.39,3.98,1595.17,6.54,66.61,5.41,0,1.77,0,0,0,0,0,187.35,0,1.02,9.78,6.54,9.93
 84-94,0,0,1.54,0,26.48,3.07,245.74,0,0,0.62,153.86,0,0,4.21,0,0,3.85,2.64,0.68,15.47,116.79,1.63,6.78,1092.26,1.52,65.23,0,0,0,5.68,0,0,0,0,111.53,0,6.79,20.7,0.82,5.82
 96-106,0,0,7.11,0,26.23,13,228.96,0,0,2.55,211.26,4.13,0,1.22,1.69,0.82,7.92,0,12.22,7.05,103.55,10.47,9.61,958.39,1.91,98.05,0.59,0,6.95,5.06,0,0,0,0,53.36,0,2.5,7.26,3.19,3.99
108-118,0,0,4.39,0,17.96,0,184.85,0,2.64,4.55,218.2,5.59,0,3.36,0.68,0.41,7.17,0,0,0.44,147.7,14.01,9.78,1039.19,3.73,61.35,0,0,10.99,0.88,0,0,0.72,0,58.5,1.2,0.66,12.55,5.5,5.27
120,0,0,3.9,0,11.8,0,218.71,0,2.41,8.79,188.09,1.19,0,0,0,0,0,0,3.74,0,99.2,1.26,13.37,1013.2,3.65,70,2.3,0,14.07,0,0,0,2.39,0,43.1,0,0,11.23,2.27,1.16
