stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,3.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,3.27,0,0,2.42,61.9,0,0,1.17,0,0,0,0,30.95,0,0,0,0,0
 24-34,0,0,0.96,0.67,0,0,0,0,0.7,0,2.39,0,0,0,0,0,1.54,0,44.64,0,0,36.03,172.08,0,0,7.89,0,0,1.02,0,127.27,0,0,0,0,0
 36-46,0,0,0.85,0,0,0,7.36,6.88,3.61,0.57,36.04,0,0,0,0,0,0.69,0,167.5,0,1.35,114.69,187.92,0.57,3.06,9.32,0,0,1.5,0.58,255.74,0,0,0,0,0
 48-58,0.39,0,0.59,7.73,0,0,75.78,1.11,0.44,1.56,81.12,0,3.83,2.72,0,0,0.73,0,317.96,0.42,17.85,68.34,330.41,0,0.78,7.03,0,0,0,0,398.43,0,0.83,0,0,0
 60-70,0,0,0,5.82,0,0,178.87,1.58,2.52,0,135.06,4.51,0.97,10.02,0,0,1.95,0,395.84,0,25.77,27.84,410.5,0,0,6.53,0,0,0.86,0,356.96,0,7.26,0.75,6.01,6.14
 72-82,0,0,0,4.16,0,0,185.6,11.56,5.32,0,158.38,0.62,0,11.34,0,0,0.68,0,681.37,0,18.16,36.27,486.52,0,0,5.13,0,0,0,0,219.56,0,6.84,1.08,7.85,0
 84-94,0,0,1.16,2.06,0,0,179.11,5.91,3.01,1.97,86.86,6.42,2.21,26.27,0,0,0,0,479.28,2.23,2.62,14.04,396.27,0,0.7,8.8,0,0,4.88,0,245.53,0,4.86,3.19,14.54,0
 96-106,0,0,0,16.11,2.48,2.87,111.4,1.29,2.37,0,124.41,2.08,2.12,22.15,0,0.92,1.03,2.27,488.31,0,0.75,3.26,376.91,0,0,15.32,0,1.51,9.59,0,119.7,0,3.55,9.63,15.03,0
108-118,0,0,1.03,4.49,1.43,0,173.4,0.68,0.48,0,169.23,1.9,0,9.32,0.86,2.7,0,0.67,449.75,0,8.63,16.64,445.44,0,1.49,3.46,0,0,1.58,0,123.39,3.98,0,3.65,7.29,0
120,0,0,0,4.74,0,0,171.4,0,7.41,0,365.83,0,0,13.06,0,0,0,36.14,491.39,0,0,10.37,621.99,0,0,0,0,9.21,3.3,0,192.36,0,11.89,0,36.54,0
