stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,54.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,350.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.29,71.77,49.6,0,0,0,65.95,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,4507.92,11.07,0,0,618.08,0,0,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,168.55,255.21,0,5.32,0,108.51,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,4633.05,29.11,0,0,1976.92,0,0,0,0,234.45,0,0,0,0,0,0,0
 14-21,0,1.44,4.7,245.01,23.26,0,348.65,0,2.5,0,8.35,3.38,0.96,0,0,0,1.5,0,0,2.29,93.95,1.47,0,80.81,3945.94,16.39,3.63,139.97,301.23,0,13.53,0.91,300.49,1.92,4.81,167.79,608.4,0,0,0,0
 24-34,0,0,2.62,8.84,0,0,102.81,0,1.21,3.86,18.27,0,0,0.76,0,0,0,0,3.01,4.27,190.86,0.76,0,26.92,1432.46,0.85,0,70.25,0,0,5.08,0,0,0.84,0,21.98,199.05,0,3.65,0,0
 36-46,0,0,0,1.87,2.43,0,31.67,0,1.05,13.95,28.51,0,0,0,0,0,0,0.79,0,0,193.42,2.35,0.72,5.93,446.42,0,1.15,12.05,0,0,25.3,0,4.29,0,0,0,85.6,0,2.67,0,0
 48-58,0,0,0,2.29,0,0,41.24,0,0.76,36.66,76.67,0,0,0,0,0,0,0,0,0,259.95,1.46,0.5,10.33,252.98,0,0,22.1,0,0.61,6.41,0,0,0,0,0,68.08,0,4.84,0,1.33
 60-70,0,0,0,0.67,0,0,9.38,0,1.03,42.41,62.42,3.45,0,0,0,0,0,0,0,0,237.37,1.88,1.89,5.46,126.42,0,0,9.18,0,0,8.44,0,0,0,0,0,94.43,0,1.92,0,0
 72-82,0,0,0,0.55,0,0,36.75,0,0.53,39.19,117.57,0,0,2.67,0,0,2.48,2.09,0,3.49,404.61,5,4,1.89,126.86,0,0,18.33,0,0,0,0,0,0,0,0,100.32,0,2.53,0,0
 84-94,0,0,0,3.72,0,0,45.59,1.33,0,49.66,68.67,0.62,0,0,0,1.1,2.31,0,0,0,364.81,1.83,1.75,6.6,97.69,0,0.69,23.15,0,0,4.34,0,0,0.62,0,0,63.5,0.63,1.6,0,1.28
 96-106,0,0,0,3.74,0,0,38.92,0.68,1.31,30.31,82.97,0,0,0.73,1.31,0,5.19,2.35,0,0.69,295.25,0,8.55,10.98,78.33,0,1.02,25.98,0,0,5.18,0,0,0.73,0,0,15.28,0,6.12,2.15,2.54
108-118,0,0,0,4,0,2.91,39.81,6.25,2.83,25.2,112.19,0.49,0,0,0,4.49,4.49,0.66,0.48,0,331.88,1.68,0,4.62,113.68,0,0,34.78,0,0,5.43,0,0,0,0,0,25.84,0,1.97,0,0.41
120,0,0,0,10.03,0,0,41.65,0,6.38,17.95,135.58,0,0,0,0,6.92,13.17,2.64,0,0,308.34,1.1,4.62,3.06,125.13,0,0,44.08,0,0,4.04,0,0,0,0,0,9.96,0,18.31,5.18,0
