stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,14.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.65,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0.88,1.66,0,3.52,2.97,0,0,0,0,0,1.4,0,0,1.81,0.84,0,0,0,0,10.96
 24-34,0,0,0,2.82,0,1.25,0,0,0,0,0,0,0,0,1.17,0,57.69,9.92,0,3.66,96.35,0,0,0.64,0,1.07,0,0,0,0,7.44,0,0,2.72,0,46.79
 36-46,0,0,0,0,0,8.33,0,0,0,3.03,0,0.57,0,0,5.16,0,160.39,3.64,0,0.8,125.69,0,0,0,0,0,0,14.95,0,0,5.38,0,0,0,0,111.77
 48-58,0,0,0,0.8,0,20.86,0,0,0,1.17,0,0,0,0,30.96,0,141.25,3.94,0,0,122.01,0,0,0,0,0.88,0,0,0,0,3.79,0,0,0,0,183.64
 60-70,0,0,0,0.64,0,244.47,0,0,2.64,1.34,0,0,0.6,0,58.37,0,72.61,8.72,2.73,0,129.83,0,0,0.89,0,0,0,0,0,0,8.13,0,0,0,0,144.12
 72-82,0,0,0,0,0.84,935.5,0,0,0.61,13.03,0.7,0,0,0,52.84,0,72.17,17.66,0,0.68,114.3,0,0,0,0,0,0,0,0,0,15.11,0,0,0,0.53,112.83
 84-94,0,0,0,2.3,0,799.68,0,0.74,0,22.49,0,0,0,0,73.89,0,124.24,7.26,0,0.72,113.92,0,0,0,0,11.7,0,0,0,0,5.1,0,0.64,0,1.84,105.09
 96-106,0,1.82,0,2.73,1.5,1078.37,1.02,0,2.38,21.35,1.57,1.61,0.72,0,79.12,0,59.09,22.07,0,1.38,128.43,0.82,0,0.85,0,6.31,0,0,0,0,0,0,0,0,2.41,122.88
108-118,0,0,0.74,3.99,1.77,1412.81,0,0,0.72,17.71,7.61,0,0,1.39,178.56,3.71,135.08,18,4.77,0,101.41,0,0,0,0,0,0,0,0.42,0,3.55,3.42,2.65,0,3.63,189.78
120,0,0,0,0,0,894.16,0,0,0,66.79,1.12,0,0,0,137.82,3.78,46.91,30.21,2.4,0,173.17,0,4.24,0,0,1.53,0,2.43,0,0,0,0,0,0,5.32,53.97
