stage,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,19.93,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.01,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.93,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.44,0,3.12,0,0
 14-21,0,0,0,0,0,0,0,0,0.85,0,0,0,0
 24-34,0,0,1.55,0,0,0,0,0,0,0,0,1.03,0
 36-46,0,0,0,0,0,0,1.45,0,6.32,0,0,0,0
 48-58,0,0,0,1.02,0,0.97,2.21,0,2.67,0,0,0,0
 60-70,0,0,1.26,0,0,0,4.45,0,4.52,0,0,0,0
 72-82,0,0,0,0,0,0,4.53,1.51,2.97,0,0,0,0
 84-94,0,0,0,0,1.27,0,7.95,2.73,4.51,0,0,0,2.87
 96-106,0,0,0,0,0,0,10.03,0,3.58,0,0,0,0
108-118,0,0,2.23,0,0,1.75,2.15,0.87,3.13,0.54,0,0,0
120,0,5.5,0,0,0,0,0,0,4.31,0,0,0,0
