stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,51.16,1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.94,0,0,0,0,0,0,0,0,0,0
  5-6,118.79,1524.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.97,7.94,0,0,18.22,0,21.96,0,0,0,0,0,0,0,0,0,0
  7-9,38.25,69.06,0,74.51,0,0,0,209.4,0,0,0,0,0,27.44,0,0,0,0,0,0,0,0,0,0,0,1707.01,61.73,0,0,486.98,0,8.05,12.07,0,26.56,0,0,0,0,0,0,0
 10-12,0,50.48,0,121.34,0,20.3,0,182.87,0,0,0,0,0,9.76,0,0,0,0,0,0,0,0,0,0,0,2199.78,94.13,0,0,485.3,0,0,0,0,70.94,0,14.9,0,0,0,0,0
 14-21,0,0,0.82,2.71,18.86,4.91,0,8.83,0,0,0,3.57,3,0,0,0,0,0,0,0,0.88,15.14,0,0,14.81,199.44,1.73,0,0.97,5.85,0,2.43,0,15.65,2.83,0,13.3,60.73,0,0.98,0,0
 24-34,0,0,1.1,0,3.88,0,0,28.72,0,0,0,9.66,1,0,0.76,0,0.71,0,0,0,9.09,25.09,0,0,8.19,399.26,0.71,1.06,1.86,0,0,14.72,0,0,0,1.54,0.73,101.65,0,10.18,0,7.96
 36-46,0,0,0,0,0.84,0.58,0,63.64,0,0,0,29.83,0,0,1.06,0,0,0,0.77,0,5.58,19.32,0,0,7.61,490.01,0,0.8,0,0,0,6.07,0,0,3.76,0,0.6,91.28,0,8.8,0,1.43
 48-58,0,0,0,0,0,0,0,114.21,0,0,1.04,49.93,0,0,0.42,0,0,1.83,0,0,1.24,26.75,0,0,2.73,394.82,2.65,0.86,0.96,0,0,0.43,0,0,0,0,0,91.01,0,0.72,0,15.3
 60-70,0,0,0,0,11.64,0,0,156.34,0,0,1.28,37.5,0,0,0,0,0,2.01,1,0,0,48.48,0,5.79,3.9,470.81,0,0,0,0,1.21,4.54,0,0,0,0,0,81.93,0.73,4.75,0.61,11.47
 72-82,0,0,0,0,0.94,0,0,114.13,0,0,0,31.16,0,0,0,3.46,4.68,0,0,0.78,2.67,41.89,0,0.49,1.39,293.36,0.53,0.75,0,0,0,1.1,0,0,0,0,0,21.08,0.56,5.19,5.52,0
 84-94,0,0,0,0,0.83,12.68,0,90.92,0,2.03,0,21.51,1.31,0,4.2,1.47,1.32,0,0.69,3.32,0,53.17,0,0.84,2.94,225.53,0.94,0,1.24,0,0,4.25,0,0,0,0,0,18.22,4.91,4.94,2.53,2.4
 96-106,0,0,0,0,6.97,0,1.14,49.91,0,0,0,23.25,0,0,0.62,0,2.33,0,6.69,1.22,0.67,40,3.89,1.05,2.6,198.89,0,0,0,0,2.56,5.84,0,0,0,0,0,15.22,0,4.56,0,0
108-118,0,0,0,0,8.5,0,3.55,94.28,0.64,2.22,4.12,27.39,0,0,0,3.4,3.66,5.15,0,3.1,0,38.32,0,6.45,8.86,266.33,0,2.11,1.83,0,3.03,6.42,0,0,0,0,0,8.76,0,4.61,0.62,0
120,0,0,0,0,2.06,1.03,0,60.58,0,4.38,0,32.8,0,0,0,6.22,0,1.87,0,3.71,0,41.47,0,0,1.26,318.54,5.18,0,0,0,0,7.08,0,0,0,0,0,17.24,6.77,3.16,0,0
