stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,9.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,72.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0
  7-9,0,0,0,0,34.71,0,0,0,0,0,0,0,0,0,0,134.92,0,0,0,41.33,0,0,0,0,0,0,0
 10-12,14.27,26.39,0,0,3.76,0,0,0,11.37,0,0,0,0,0,0,649.43,0,0,0,107.29,0,3.03,0,30.01,0,0,0
 14-21,0,2.09,5.57,0,2.14,0,0,0,0,0,0,0.93,0,1.23,0,24.09,0,0,0.93,0,0.86,0,5.53,0,6.87,0,1.12
 24-34,0,0,1.29,0,0,0,0,0,0,0,0,0,0.6,1.84,2.86,21.19,0.66,0,0,0,4.33,0,0,0,1.37,0,1.11
 36-46,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,1.7,4.77,0,0,0,0,5.6,0,0,0,2.37,0,0
 48-58,0,0,0,0,9.53,1.7,3.43,0,0,4.52,0,0,0,10.6,5.99,66.29,0,1.66,0,0,2.47,0,0,0.62,10.44,1.28,0.52
 60-70,0,0,0,0,1.69,0,0,0,0,0.66,0,0,0,9.35,0,9.04,0,0,0,0,3.91,0,0,0,0,0,0
 72-82,0,0,1.02,1.26,18.23,0,1.66,0,0,0.5,0,0,0,4.27,0,5.66,0,0,1.58,0,3.87,0,0,0,1.87,0,0.59
 84-94,0,0,1.26,0,15.2,0,2.51,0.59,0,0.83,1.11,0,0,3.08,0.75,11.71,0,0,0,0,5.21,0,0,0,2.91,0,0
 96-106,0,0,0.93,0,3.77,0,2.24,0,0,0,0,0.59,0,0,0,0,0,1.44,0,0,7.05,0,0,0,0,0,0.56
108-118,0,0,1.48,0,17.18,1.18,1.72,0,0,0.71,0,1.75,0,5.5,1.84,25.51,0,0,0.88,0,3.03,0,0,0,0,0,1.7
120,0,0,1.59,0,22.73,0,0,0,0,0,0,0,0,26.34,0,74.76,0,1.61,3.1,0,24.63,0,0,0,8.98,0,18.05
