stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.11,1.06,0,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0.93,0,0,9.42,0,0,0,0,0,0
 24-34,0,11.66,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.77,0,11.14,7.06,1.76,0,72.63,1.75,0,0,0,0,0
 36-46,0,16.22,0,1.07,2.93,0,0,0,0,0,0,0,0,0,0.74,1.44,2.05,27.13,0,0,0,183.21,0,1.37,0,0.76,0,0
 48-58,0,27.67,0,2.92,8.61,0,2.34,0.49,0.37,0,6.83,0,0.95,4.98,1.18,6.65,0,65.57,0.75,0,0,222.62,0,5.92,0,0,0,5.1
 60-70,0,64.94,0,4.5,15.73,10.87,0,0,0,0,0,0,0,0,0,6.2,0,30.54,2.62,0,0,226.23,0,0,0,0,0,0
 72-82,0,39.01,1.23,19.67,6,0.56,0.66,0,0,0,1.16,0,0.92,0,1.45,6.14,0,33.03,0,0.75,0,203.18,0,0,0,1.19,0,0
 84-94,0,54.77,0,6.26,33.61,0,0,0.73,0,0,1.45,0.67,0,0,0,10.37,0.71,32.33,0,0,0.92,428.33,0,0,0,0,0.91,0
 96-106,0,59.71,3.56,14.65,30.95,0,1.92,0.67,0,1.52,4.87,0,1.93,0,2.49,13.67,0,32.42,0,0,0,373.49,0.57,0,4.64,2.29,1.67,0
108-118,0.89,105.05,0,1.16,37.02,0,2.73,3.21,0,0,4,0,0,0,13.13,10.55,0.42,18.27,0,0,0,314.55,0,0,0,0,0,0
120,0,216.89,0,0,52.49,0,19.31,0,0,5.33,5.68,0,0,0,18.68,29.42,0,21.08,6.58,1.32,3.16,219.8,0,0,3.31,0,0,0
