stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3.32,28.37,11.55,0,13.36,0,0,0,1.71,3.97,0,1.89,0,0,0,0,0,0,20.02,0,0,18.17,329.57,7.65,0,6.07,9.09,0,0,7.88,4.38,2.81,10.29,107.56,0,0,3.48,0,0
 24-34,0,4.31,27.7,0,0,92.9,0,6.63,0,28.73,1.36,0,2.38,0,0,0,2.26,1.38,3.78,67.29,0,0,25.05,767.24,1.68,2.01,16.16,0,0,4.87,0,4.28,6.7,6.7,224.8,0,0,26.75,0,0
 36-46,0,0.96,36.25,1.22,0,186.79,8.72,0,3.08,66.34,3.66,0,0.65,0.67,0,0,2,1.67,7.28,61.48,0,3.03,17.33,727.95,5.22,1.92,9.65,0,0,44.86,0,0.86,12.5,0,201.9,0,0,15.57,0,3.23
 48-58,0,0.53,12.02,3.17,0,292.31,3.15,4.27,0.87,118.01,6.2,0,0.95,0.79,0,0,3.16,0,2.91,88.91,0,3.24,7.97,453.95,6.8,1.9,23.56,0,0.73,0,0,0,0.94,0,140.86,0,0,19.54,0,5.25
 60-70,0,0,12.49,0,0,622.87,0,4.47,2.64,128.82,7.48,2.38,0,2.63,0,1.86,0,1.06,10.17,135.05,0,6.48,7.9,381.98,6.19,0.63,17.58,0,0.66,2.15,0,2.27,3.95,0,88.59,0,0.63,21.29,0,29.18
 72-82,1,0,8.97,2.01,0,560.48,2.63,8.81,6.99,122.29,12.06,0,4.52,1.87,0,0,4.33,0,0,125.99,1.51,13.77,8.07,318.13,2.9,4.69,29.38,0,3.05,1.96,0,1.04,0,0,32.38,0.62,2.36,18.06,6.14,9.99
 84-94,2.04,0,19.15,0,0,437.68,0,4.51,4.47,97.78,17.43,0,3.63,5.33,0.68,7.09,4.43,1.63,9.98,140.58,0,1.54,5.85,286.87,18.9,3.15,52.63,0,0.6,14.87,0,6.35,0.8,0,36.07,5.6,1.78,11.59,8.6,4.29
 96-106,1.72,0,12.3,0,1.43,305.72,1.45,2.71,3.22,58.88,15.89,0,4.64,6.28,2.01,0,12.42,0,1.98,96.02,3.81,3.81,5.48,177.32,1.48,1.1,53.02,0,3.38,16.15,0,0.6,8.35,0,34.79,0,2.38,17.69,1.36,15.63
108-118,1.42,0,32.08,2.57,4.4,526.51,2.41,5.25,8.96,77.84,36.35,0,1.44,5.56,5.18,0,10,0.63,2.02,122.67,0,15.82,1.7,239.34,5.5,2.31,50.59,0,3.75,3.36,0,2.72,4.55,0,23.73,1.59,9.1,35.67,4.3,13.13
120,0,0,62.05,0,0,275.78,0,4.8,9.22,218.66,40.63,0,1.54,6.46,12.5,0,15.98,1.99,1.79,99.74,0,0,17,435.85,27.3,0,66.54,0,2.54,7.02,0,0,0,0,28.77,1.09,7.67,22.93,11.58,2.33
