stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,9.61,602.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.87,0,0,0,0,0
  5-6,50.71,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.25,0,10.37,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.06,0,20.42,0,4.29,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76,0,3.16,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,5.94,0,0,0,0
 24-34,0,0,0,1.68,0,4.89,0,0,0,0,0,0,0,0,0,0,0,25.96,5.06,0,0,0,17.04,0,0,0,0
 36-46,0,0,0,0,0,13.14,0,1.06,0,0,0,0,0,0,0,0,0,73.08,3.29,0,0,0,42.67,0,0,0,0
 48-58,0,0,0,0,0,2.04,0,0.73,0,0.49,0,0,0,0,1.63,0.65,0,77.77,4.97,0,0,0,14.9,0,0,0,4.02
 60-70,0,0,0,0,0,144.67,0,3.7,0,0,0,0,0,0,0,0,0.93,64.05,4.79,0,1.44,0,15.66,0,0,0,0
 72-82,0,0,0.75,0,0,429.76,0,12.3,0,0.5,0,0,0.66,0,0,4.97,0,86.88,7.78,0,0,0,22.11,0,0.52,1.87,0
 84-94,0,0,0,0,0,328.68,1.13,10.77,0,0,0,0,0.66,0,0,4.32,0,99.9,8.56,0,0,0.96,15.65,0,0,0,0
 96-106,0,0,0,0,0,512.07,0,7.57,1.54,0,0,0,0.64,0,0,8.44,0,131.52,9.49,0,0,0,8.58,0,0,0,0
108-118,0,0,0,0,3.16,387.73,0.64,7.31,0,0,0.44,1.43,4.87,3.99,0.58,4.93,0,117.44,11.7,0,0,0,2.12,3.42,0,0.65,0
120,0,0,0,16.92,0,238.45,0,12.63,0,0,0,0,0,0,0,2.22,0,160.3,6.29,0,0,0,1.74,0,0,0,0
