stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,11.38,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96,0,0,14.32,32.38,0,0,0.91,0,0,0,0,0,0,0,0,0,3.49,0,0
 24-34,0,0,2.06,0,0,107.65,0,0,0,7.54,0,0,0,0,0,0,0,0,0,1.47,0,0,0,161.11,0,6.12,0,0,0,3.32,0,0,0.63,2.45,0,0,3.52,0,0
 36-46,0,0,1.93,0,0,1848.5,0,0,0,384.27,0.78,0,0.56,0,0,0,0,0.85,2.45,4.85,0,0,0.72,1550.35,0,0.8,1.54,0,0,3.74,0.78,0,0,73.56,0,0,3.83,0,0
 48-58,0,0,38.16,1.81,0,6123.52,0,17.52,1.13,2116.03,0,0,0,3.05,0,7.53,0,0,0,34.06,0,4.05,6.23,4072.54,5.09,0,0,0,0.56,4.45,0.8,0,0,137.17,0,0,0,0,10.1
 60-70,0,0,35.63,1.5,0,6760.41,0,4.48,0.6,5867.74,0,0.98,0,4.14,2.86,11.72,8.83,0,0,30.26,0,3.19,26.84,5109.47,23.78,2.8,0,0,0,28.71,4.05,2.6,0,103.25,0,4.5,1.6,0,5.66
 72-82,0,1.68,83.68,19.42,0,3604.59,4.51,0,5.77,5351.17,0.88,0,2.5,5.72,6.31,3.21,0,9.33,0,86.46,4.5,7.4,1.84,4018.61,7.39,0.93,18.29,0,1.77,3.91,0,0,0,66.89,10.72,0,3.1,5.38,5.03
 84-94,0,0,46.58,2.82,0.56,3139.36,0,7.1,8.08,4067.07,0,0,0,4.52,1.28,3.36,0,0,0,112.78,0,7.91,10.91,2317.1,0,3.23,0,0,2.48,17.8,0.56,0.69,0,119.92,3.23,7.48,15.87,2.86,0
 96-106,0,0,98.46,8.2,0,2107.54,9.04,5.21,3.54,4354.32,2.62,0,5.74,2.47,4.62,0,4.05,15.05,13.82,97.71,0,0.59,10.37,2245,4.23,3.12,2.23,0,0,19.76,0,0,0,52.59,3.05,4.08,8.08,3.89,22.43
108-118,45.86,0,58.64,11,0,2136.23,3.5,2.01,0,4299.38,5.51,0,0.74,3.43,0.7,0.82,0,5.52,0,133.43,0,0,9.51,4148.48,0,0,7.14,0,1.49,4.33,0,0,0,19.7,1.05,2.82,9.31,0,0
120,0,0,69.01,23.82,16.03,2710.58,0,85.7,3.17,4894.52,1.66,0,0,12.69,0,0,0,3.99,0,114.97,0,5.51,27.44,4693.3,1.1,0,0,0,0,13.32,0,0,0,91.15,0,16.38,0,0,0
