stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.05,122.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,364.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.58,6.05,0,12.02,0,0,0,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.05,11.64,0,0,18.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,42.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.32,3.71,0,0,19.33,0,0,0,0,29.52,0,0,0,0,0,0,0,0
 14-21,0,0,1.38,1.86,9.53,1706.69,0,8.87,0,0,0,0,2.9,0,0,4.15,0,0,0,0,4.37,0,0,4.36,38.57,0,0,0,0,0,0,0,3.24,2.29,0,11.72,18.74,0,0,3.92,0,0
 24-34,0,0,0,0.86,4.39,3075.42,0,78.76,2.54,0.83,0,9.46,0,0,0.62,7.53,0,0,10.05,1.1,17.1,1.5,0,24.02,242,0.83,2.56,6.06,0,0,12.22,0,0,1.97,10.5,12.18,51.46,0,0,13.8,0,0
 36-46,0,0,0,0,1.14,682.73,0,79.52,22.57,0,0,38.74,0,1.05,1.67,19,0,0,3.43,0,13.34,0,1.6,12.31,89.42,2.7,2.29,0,0,0,14.84,0,0,3.26,60.49,2.35,16.18,0,0,0.86,0,2.27
 48-58,0,0,0,0,7.61,701.77,0,250.68,27,0,0,47.28,0,4.81,0,4.42,0.54,0.94,3.02,3.17,20.96,0.82,0.56,6.84,137.61,7.26,0,0,13.27,0,0,0,0,10.14,62.01,0,21.11,0,0.64,1.02,0,8.39
 60-70,0,0,0,0,3.65,502.39,0,246.44,11.62,0,0,28.7,5.72,0,0,69.01,0,0,7.85,0,39.06,0,0,4.1,134.84,1.73,0,0,0,0,3.58,0,0,8.16,41.7,0,10.47,0,0,3.89,0,0
 72-82,0,0,0,0.56,12.74,1227.6,0,228.92,10.87,0,2.6,48.66,0.66,0.66,0.54,78.76,0,0,2.72,0,113.19,0.58,2.15,5.59,111.43,0,0.67,0,0,0,0,0,0,14.7,32.14,0,12.32,0,0.52,3.74,0.49,1.53
 84-94,0,0,0,0,13.4,1437.69,0.59,574.36,15.87,2.8,2.52,33.09,3.26,0.63,0,167.32,4.88,0,7.24,4.5,203.74,4.49,0,15.33,87.8,0,0,1.92,0,1.49,12.58,0,0,21.71,105.51,0,0,1.03,0,4.16,3.95,0.55
 96-106,0,0,0,0,43.12,1270.78,3.42,316.17,11.45,0.82,0,26.34,2.87,3.26,3.27,124.9,0.76,2.32,13.53,0.69,167.12,0,3.79,10.77,133.78,0,3.78,2.78,0,0,19.27,0,0,12.27,25.44,0,20.92,1.41,2.03,5.76,2.77,0
108-118,0,0,0,0.74,19.14,950.66,0,493.53,20.07,0,1.95,49.89,5.07,5.48,2.22,334.82,1.58,0,1.39,0,304.82,0,0,11.03,135.92,0,2.02,3.26,0,0,12.17,0.42,0,21.32,36.91,0,7.03,5.54,0,10.12,0,32.43
120,0,0,0,0,47.53,962.9,0,198.3,10.15,0,0,39.36,18.28,0,32.61,165.33,1.25,0,2.96,0,240.31,2.21,5.31,1.24,201,0,0,21.44,0,0,11.37,0,0,12.03,10.47,0,17.62,0,0,0,0,0
