stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.6,14.94,9.04,0,4.11,0,0,0,33.41,1.08,0,0,0.82,0,0,0,0,12.9,0,18.78,107.04,2.85,3.92,2.23,5.72,0,0,12.03,21.54,13.43,81.61,0,0,1.13,0,0
 24-34,0,0,6.44,0,0,12.06,0.72,1.45,0,9.42,0,0,0,0,0,0,0,0,11.06,0,2.27,87.73,0,5.59,1.36,0,0,0.6,0,2.36,0.61,24.05,0,0,1.9,0,0
 36-46,1.72,0,1.39,0,0,8.71,0,0,0.58,14.3,0,0.99,0,0,0,0,0,0,6.93,0,4.35,73.56,0,1.04,0,0,0,6.02,0,0,0,20.57,0,0,4.39,0,2.39
 48-58,0,0,1.9,0,0,50.07,0,8.07,0.4,15.73,0,2.02,0,0,0,0,0,4.85,9.78,1.2,1.7,88.91,1.42,3.33,2.38,0,0,1.02,0,13.85,0,27.52,0,0.64,8.97,0,2.15
 60-70,0,0,6.6,0,0,33.75,0,0,0,4.45,0,0,0,0,0,0,0,0,6.56,1.41,0.6,55.57,0,4.25,1.2,0,0,11.87,0,10.27,0,17.39,0,0,0,0,0
 72-82,0,0,2.24,0.56,0,73.02,0,0,1.16,9.27,0,0.68,0,0,0,0.64,0,1.14,12.41,0,0,72.94,0,3.67,4.17,0,1.82,2.09,0,2.36,0,16.71,0.62,0,1.82,0,0
 84-94,0,0,1.87,0,0,29.03,0,0.63,0,19.53,0,0,0.71,0,0,1.2,0,5.92,32.12,1.75,1.16,59.33,0,6.29,11.09,0,0,17.88,0,0,0,14.42,0,0,0,2.38,0
 96-106,0.99,0,5.91,0,0,31.05,0,0,0,29.45,2.47,0.61,0,0,0,2.84,0,0,34.48,0,2.41,31.65,2.65,11.26,5.02,0,0,9.05,0,2.01,0,10.46,0,0.87,1.95,0,3.1
108-118,0,0,0,0.6,1.62,25.62,0,1.9,0,29.56,0.66,0,1.71,0.54,2.85,1.85,0.43,1.47,14.92,0,1.91,56.5,4.96,6.52,7.45,0,0,0,0,1.39,0,4.91,0,0,0,0,0
120,0,0,12.64,1.47,0,95.42,0,0,0,4.1,0,0,4.77,1.07,0,0,0,0,15.96,0,0,59.77,0,0,2.38,0,4.48,0,0,0,0,14.33,0,0,1.96,0,0
