stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,43.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84,0,0,0,0,0,0,0
 14-21,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.76,0,0,0,0,0,1.63,0,0,0,0,1.71,0,0,2.77,0,0.75,0,0,0,0
 36-46,0,0.66,0,0,0,0,0,0.57,1.76,0,0,1.61,1.22,1.05,0,42.05,2.21,0,0,0,0,0
 48-58,0,1.76,0.44,0,0,0,0,0,0,0,0,10.45,0,0,0,13.12,0,1.04,0,0,0,0
 60-70,0,2.53,0,0,0,0,0,4.64,0.9,0,0,0,0,1.03,0,19.21,0,0,0,0,0,0
 72-82,0,2.57,0,0,0,1.99,1.81,0,0,0.66,0,7.01,0,1.58,0,13.03,1.07,0,1.38,1.26,0,1.94
 84-94,0,6.17,0,0.91,0.75,0,1.52,0.91,0,0,0.59,4.38,0.76,0,0,14.92,0,0,1.44,0,0,0
 96-106,0,2.96,5.57,0,0,0,7.88,0,0,0.94,0,0,0.59,3.06,0,14.22,1.62,0,2.38,0,0,0
108-118,0,10.25,5.99,1.85,0,0,2.61,0.73,0,0,0,4.28,0,0.72,0,19.99,0,0,0.6,0,1.17,0
120,0,5.88,2.73,0,0,0,1.69,2.58,0,0,0,3.35,0,0,0,19.18,0,0,14.91,0,0,0
