stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,0,66.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,150.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.25,0,0,0,19.12,7.83,0,0,0,0,0,0,0
  7-9,4.21,0,0,15.49,0,0,0,40.96,0,0,0,0,0,0,0,0,0,0,191.93,0,0,0,38.28,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.81,9.79,0,0,95.13,0,9.03,0,0,0,0,0,0
 14-21,0,0,0,0,5.64,1.17,0,0,0,0,0,0,0,0,0,0,0,2.9,22.94,8.6,0,0,4.52,1.62,0,4.41,0.93,16.14,12.42,0,0.89
 24-34,0,0,0,0,3.09,0,0,5.7,1,0,0,0,0,0,0,0.95,0,1.5,9.46,0,0,1.95,0,3.51,0,0,0,2.75,2.1,0,0
 36-46,0,0,0,0,3.66,0,0,17.39,0,0,4.47,0,0,0,0,0.63,0,0.72,28.32,1.99,1.54,0,0,3.04,0,0,0,0,9.78,0,0
 48-58,0,0,0,0,2.89,0,0,62.31,1.69,0,0.54,0,0,0,0,0.81,0,0,28.93,0,0,0.66,0,2.47,0,0,0,0,7.23,0,1.07
 60-70,0,0,0,0,0.71,0,0,249.76,0,1.53,0,0,0,0,0,0,1.28,0,11.99,0,0,4.94,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.5,0,0.88,0,0,159.06,0,0,4.38,1.1,0,0,0,2.6,0,0,7.29,0,1.69,0.71,0,0,0,0,0,0,6.93,0,0
 84-94,0,0,0,0,1.26,0,0,197.08,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4.28,0,0,0,0,0,0,4.14
 96-106,0,0,0,0,0,3.58,0,191.03,0,0.85,0,0,0.8,0.9,0,0.95,0,1.34,21.95,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.32,0.5,0,193.21,0,0,0.44,0,0,1.87,1.46,2.19,0,0,25.8,0,0.59,0,0,0,0,0,0,0,0,0.42,0
120,0,0,0,0,8.87,0,1.09,305.4,1.19,6.99,3.07,0,0,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,4.55,0,0
