stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0,0
  5-6,15.29,105.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,25.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,141.7,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,317.13,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.8,29.06,57.7,0,0,0,2.96,0,0.85,74.75,0,0,25.75,0,1.47,1.53,0,0,1.86,1.23,0,0,1.91,0,1.11,80.63,0,3.51,1.5,0,8.58,0,0
 24-34,0,0,6.79,31.51,4.11,0,0,3.32,11.96,0,0,21.09,0,0,11.08,0,0.61,0,0,0,14.6,0,0,0,0,1.06,0,64.83,0,0,0,0,39.25,0,0
 36-46,0,0,3.78,0.96,0,0,0,29.43,5.04,0,0.85,6.51,0,0,6.69,0,2.02,0,0,0,10.02,0,0,0,0,1.55,0,48.88,0,0,0.79,0,47.85,0,0
 48-58,0,0,1.07,0.6,0,0,0,18.55,8.13,0,0,11.72,0,0,12.61,0,1.43,0,0,0,16.09,0,0,0,0,4.93,0,25.06,0,0,0,0,56.64,0,0
 60-70,0,0,1.22,0,0,0,0,9.22,2.46,0,9.8,20.48,0,0,25.16,0.71,2.21,0,0,0,10.27,0,0,0,0,0,0,19.27,0,0,0,0,39.49,0,0
 72-82,0,0,9.22,0.56,0.63,0,0,36.28,0,0,6.78,59.51,0,0,44.13,0,1.93,0,0,0,42.29,0,1.9,0,0,6.27,0,28.83,0,0,5.39,1.62,52.31,0,8.95
 84-94,0,0,8.22,2.9,1.36,0,0,52.36,1.14,0,3.07,100.68,0,0,71.61,0,1.13,3.08,2.03,0,49.88,0,0,0,0,1.05,0,55.24,0.66,0,1,2.63,34.76,0,0
 96-106,0,0,10.36,0,0,4.6,0,76.82,0,0,18.23,162.36,0.65,1.5,34.31,0,8.47,0,0,0,46.66,0,0.9,0,0,4.13,0,26.08,0,0,3.98,0.68,62.47,1.42,0
108-118,0,0,7.06,3.98,2.98,3.72,1.01,76.68,0.88,0,5.87,124.4,0.63,0,209.85,0,5.6,0,0,2.86,64.04,0,0,2.75,0,8.78,0,35.06,0,0,0,3.06,20.19,1.33,0.74
120,0,0,0,0,0,0,0,38.35,0,3.46,4.33,97.62,0,0,71.16,0,5.83,0,0,0,39.46,0,0,0,0,0,0,26.76,0,0,0,2.69,22.17,0,0
