stage,axial,blastomeres,mesenchyme,neural,paraxial_mesoderm
  3-4,0,23.62,0,0,0
  5-6,7.99,11.45,0,0,0
  7-9,0,0,0,8.03,8.68
 36-46,0,0,0,1.2,0
 48-58,0,0,0.37,0.67,0
