stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  5-6,29.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,5.68,0,0,0,0,0,0,0
 10-12,0,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,1.09,0,0,0,0,0.83,0,0.85,4.78,5.69,1.1,1.28,0,0,6.23,0
 24-34,0,0,0,1.85,1.67,0,3.74,0.81,0,0.77,0.95,0.97,0,0,15.14,0,0,0,0,1.53,2.73,0
 36-46,0,0,0,0,0.94,2.1,0,0,0,0,0,0.8,0,0.62,3.22,0,0,0,0,0,2.37,0
 48-58,0,0,0,0.86,0.65,0,0,0,0,0,0,1.39,0,0.38,5.12,0,0,0,0,0,2.02,0
 60-70,0,0,0,0,2.67,0,0,0,0,0,4.37,1.93,0,0,6.27,0,0,0,0,0,3.15,0
 72-82,0,0,0,20.47,6.24,0,0,0,0,0,0.57,0,1.3,0,6.59,0,0,0,0,0,1.4,0
 84-94,0,0,0,0,1.82,0,0,0,0,0,0.74,2.08,0,0,2.53,0,0,0,0,0,0,0
 96-106,0,0,2.73,1.14,0,11.39,0,0,0,0,0,0,0,3.93,11.89,1.39,0,0,0,0,0,0.57
108-118,0,0,0.51,0,6.75,1.52,0,0.69,0,0,2.44,0,0,0.5,14.41,0,0,0,0.49,0,0,0
120,0,0,0,1.9,0,0,0,0,6.51,0,1,8.14,0,2.41,5.36,0,1.26,0,0,0,0,0
