stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,650.78,11224.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.97,0,0,0,0,0,0
  5-6,702.18,8251.06,9.08,0,0,0,0,0,0,0,24.34,0,0,0,0,0,0,0,0,162.84,10.72,0,0,49.06,0,238.27,0,0,0,0,0,0
  7-9,180.03,257.69,185.33,0,0,332.86,0,0,0,0,141.85,0,0,0,0,0,0,0,0,3632.86,116.02,0,0,1265.74,0,3.29,74.8,0,12.75,0,0,0
 10-12,0,93.63,88.2,0,5.18,132.69,0,0,0,0,27.69,0,0,0,0,0,0,0,0,1151.29,55.12,0,0,469.58,0,4.05,16.16,0,56.31,13.24,0,0
 14-21,0,0,0,33.9,7.58,7.84,0,0,2.59,0.81,2.19,0,0,0,0,0.93,7.82,0,2.16,97.16,4.18,0,2.17,3.44,0,3.87,0.9,19.53,0,12.08,20.71,1.06
 24-34,0,0,0,0.86,0,9.41,0.91,0,0.7,0,0,0,0,0,0,1.53,6.51,0,1.19,89.68,0,0,1.28,0,0,13.43,0,0,0,0.62,11.57,0.66
 36-46,0,0,0,0,0,17.58,0,0,1.22,0,0,0,0,0,0,0,15.4,0.98,4.3,97.02,0,1.63,0,0,0,8.13,0,0,0,0,5.54,1.58
 48-58,0,0,0,2.98,0,22.46,0,0,3.48,0,0,0,0,0,0,0,5.4,0,1.03,93.49,0,1.07,0,0,0,11.33,0,0,0,0,10.67,0
 60-70,0,0,0,1.3,0,32.66,0,0,0,0,0,0,0,0,0,0,6.17,0,1.18,8.77,2.9,0,0,0,0,18.75,0,0,0,0,3.47,0
 72-82,0,0,0,0.84,0,24.92,0,0,0.79,0,0,1.41,0,0.64,1.06,0,5.97,0,0.69,42.1,0,2.21,1.09,0,0.89,0,0,0,0,0,2.51,0.52
 84-94,0,0,0,0.97,0,3.05,0,0,2.58,0,0,0,0,0,0,0,3.53,0,0,17.77,0.84,0,0,0,0,2.66,0,0,0,0,3.08,0
 96-106,0,0,0,0.74,0,6.59,0,0,3.91,0.8,0,0,0.71,0,0,0,6.75,0,0,10.39,0,0,0,0,0,0.67,0,0,0,0,5.91,0
108-118,0,0,0,0.66,0,3.84,0,0,3.16,0,0,0,0,0.44,0,0,8.61,0,0,16.59,0,0,0,0,0,2.5,0,0,0,0,0,0
120,0,0,0,0,0,1.11,0,1.5,0,0,0,4.47,0,0,0,0,3.42,0,8.99,30.3,0,0,0,0,0,0,0,0,0,0,0,0
