stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,42.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,2.61,0,0,0,0,0,0,0.95,6.82,1.89,2.14,0,0,0
 24-34,0,1.49,0,1.71,45.88,0,0,0.63,1.94,5.2,0.66,0,0,0,4.86,0,0,39.43,63.79,0,2.69,0.73,0,0,2.3,0,35.86,13.5,6.92,0,0,0
 36-46,0,0,0,6.98,105.58,0.57,4.29,0,0,0,0,0.99,0,16.08,3.49,0,0,21.68,70.74,0.82,1.14,0,7.09,0,0.81,0,80.93,2.13,6.18,1.4,0,2.51
 48-58,0,5.94,0,29.51,51.53,0,11.14,0,0.38,0,0,0,0,0,6.36,0,0,13.33,104.32,6.32,0,0,0,0,0.38,0,35.87,0,19.38,0,0,1.87
 60-70,0,0,0,115.92,38.64,0,3.52,2.86,0,0,0,0,0,0,7,0,0,7.31,100.22,0,0,0,0,0,6.77,0,23.12,0,9.1,0,0,0
 72-82,0,0,5.83,113.33,36.13,0,5.21,0,0,0,0,0,0,0,2.77,0,0,7.64,93.57,0,0,1.63,0,3.03,3.21,0,8.76,0,7.54,0,0,6.75
 84-94,0,4.04,0.93,96.96,41.02,1.19,3.35,0,0,0,0,0,9.21,0,16.72,0,0,18.49,36.4,0,19.49,0,0,0,0,0,9.4,0,0,0,0.77,0
 96-106,0,1.81,1.09,74.23,47.05,0,0.62,0,0,0,0,0,0,0,21.61,1.63,0,3.98,72.78,0,0,0.71,0,0,3.38,0,8.78,0,2.82,3.2,0,0
108-118,0,0,5.27,41.75,43.45,1.46,7.87,0,0,0.67,0,0,0,0,9.42,0,0,12.46,40.97,0,1.59,0,0,0,0,0,10.07,0,0,0,0,0
120,0,0,0,44.67,30.03,0,3.88,0,0,0,0,0,0,0,2.19,0,4.43,2.15,28.14,0,11.07,8.85,0,0,1.1,0,3.56,0,1.19,0,0,0
