stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.94,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.38,2.86,37.39,6.43,11.47,0,0.87,0,4.49,1.38,0.99,0,0,0.95,0,0,1.47,4.51,0,0,10.95,206.79,2.14,0,1.24,2.76,2.66,33.28,2.44,39.25,57.96,0,0,0,0,0
 24-34,0,0,1.95,3.96,0.95,11.4,0,0,0,2.14,0,0,0,0,0,0,2.12,0,5.24,0.68,0,2.36,112.44,0,2.51,0.63,0,2.38,0,0.66,0.62,17.87,0,0,5.29,0,0
 36-46,0,0,0,0.65,0,15.59,1.99,0,0,6.27,0,0,0,0,0,12.95,0.95,0,5.58,0,0,1.38,97.52,0.56,0,1.24,0,6.66,0,0,0,7.55,0,0,1.5,0,0
 48-58,0,0,0,7.56,0,30.33,0,0,1.13,16.58,0.89,2.4,1.52,1.43,0.4,0,0.45,0,7.96,0,0,6.21,93.74,0,0,1.47,0,2.98,0,0,0,14.29,0,0,0,0,0
 60-70,0,0,0,16.18,0,38.22,0,6.87,0,5.52,1.9,0,0,0.94,2.48,0,0,2.11,14.02,0,1.78,1.27,26.72,0,0,0.71,0,4.35,0,0.97,0,5.07,0,0,1.31,0,0
 72-82,0,0,0,3.63,1.48,95.77,0,0,0,14.87,1.43,0,0.79,1.4,1,0,1.65,7.52,27.54,1.29,0,2.73,69.72,0,2.94,3.19,0,0.52,0,0.55,0,8.63,0.5,0,0,0,0
 84-94,0,0,0,1.96,0,8.13,0,0,0,3.54,0.97,0,0,1.05,0,0,0,0.63,7.76,0,0,0,16.94,0,0.63,1.19,0,0,0,0.75,0,1.48,0,0.64,0.6,4.63,0
 96-106,0,0,0,6.12,0,7.19,0,0,0,1.58,2.62,0,0,0,0.68,0.59,0,2.3,11.76,0,2.17,0.96,21.64,0,1.55,2.44,0,0.65,0,0,0,0,0,0,0,1.5,0
108-118,0,0,0,2.17,0,16.43,0,2.22,0,4.19,0,0,0,0.6,1.55,0,0,8.58,8.17,0,0,0,36.46,0,2.41,3.1,0,3.36,0,0,0,0.47,0,1.88,0.67,1.97,0.48
120,0,0,0,7.81,1.07,14.44,0,2.97,0,19.91,4.68,0,0,2.06,2.97,0,0,5.3,19.25,0,0,0,18.52,1.25,0,0,0,4.1,0,0,0,0,0,0,0,0,0
