stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,612.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.19,631.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.64,7.03,0,0,10.37,0,24.23,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.27,29.21,19.22,0,0,99.49,0,0,0,0,0,53.63,0,0,0,0,0,0,0,0,0,0,936.89,7.84,0,0,342.33,0,5.09,15.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.74,85.25,0,7.85,151.2,0,0,0,0,0,12.15,0,0,0,0,0,0,0,0,0,0,1399.77,6.49,0,0,455.25,0,0,12.82,0,65.93,0,0,5.32,0,0,0,0,0
 14-21,0,1.36,6.14,40.68,13.82,29.33,0,0,0,13.31,3.21,0,0,0,3.08,0,0,0,0,34.84,0,22.57,467.09,14.79,0.97,2.7,10.02,0,7.36,0,34.88,0,1.17,24.57,118.57,0,0,2.27,0,0
 24-34,0,0,2.19,11.62,1.5,87.87,0,0.68,1.96,14.27,2.67,0,3.8,0,0.86,0,0.83,0,0,69.43,0,26.88,780.37,0.62,0.99,4.94,0,0,6.07,0,0.93,5.72,0,2.06,149.04,0,0,19.37,0,3.57
 36-46,0,0,0,7.69,0,178.66,0,0,0,11.14,0,0,0,0,0,0,0,0,2.17,53.32,1.63,17.63,379.85,0,1.57,5.66,0,0,2.44,0,0,0,0,0,81.58,0,0,8.76,0,0
 48-58,0,0,0,2.31,0,201.91,0,0.39,2.25,18.5,1.98,0,0,1.38,0,0.41,0,2.56,0,54.35,8.83,11.09,176.21,0,0,0.78,0,0,1.67,0,0,0,0,0,41.39,0,0,6,0,0.79
 60-70,0,0,0,9.6,0,102.04,0,3.49,0,11.85,0.65,0,0,0,0,0,0,0,0,33.14,5.29,8.04,79.74,0,0,0.99,0,0.71,1.82,0,0,0,0,0,3.19,0,0,5.53,1.79,6.06
 72-82,0,0,0,3.54,8.18,52.77,0,2.43,0,12.77,0.7,0,0,0,0,0,0,0,0.5,33.91,1.52,2.4,62.04,0,0,1.63,0,1.58,2.62,0,0,0,0,0,5.43,0,0,6.17,2.3,0
 84-94,0,0,0,12.26,5.13,33.47,0.66,0,0.77,11.58,0.99,0,0.6,3.21,0.56,0,0,0,0,28.17,2.53,2.35,75.75,0,1.26,1.58,0,2.85,2.25,0,0,0,0,0,0.98,1.21,0,1.58,0,3.83
 96-106,0,0,0,4.33,0,27.32,0.64,0,0.89,17.02,1.15,0,0.97,4.99,0,0,0,0,0,25.26,0,3.72,67.9,0,0,3.1,0,0,1.14,0,0,0,0,0,0,0,2.45,3.69,0.64,0
108-118,0,0,0,4.29,0.42,38.96,0,0,0.53,3.25,1.17,0,0,5.41,0,0.53,0.7,0,0,21.76,2,5.94,65.69,0,0,3.16,0,0.92,1.34,0,0,0,0.49,0,0,0.41,0,4.4,0,1.16
120,0,0,0,2.99,2.83,33.41,0,1.42,0,11.7,0,0,0,3.9,0,0,1.76,0,0,23.81,0,6.52,62.71,0,0,0,0,0,1.12,0,0,0,0,0,0,0,8,2.43,0,0
