stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,41.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.57,0,0,0,0,0,0,0
  5-6,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.72,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,33.17,2.65,0,64.68,0,0,0,3.14,0,0.92,0,0,0,0,0,0,0.97,0,0,0,110.45,0,0,43.54,0.88,0,1.05,0,0,0,0
 24-34,0,0,33.64,0,0,1315.64,0,4.01,0,11.29,0,24.77,0,0,0,0,0,0,10.02,0,0,1.67,407.06,1.06,27.23,32.95,0,0,12.72,0,1.13,0,0.91
 36-46,0,0,142.37,0,0,2737.01,0,33.96,0,32.92,0,32.42,0,0,0,1.75,0.73,0.67,12.39,1.8,0,0,279.37,0,81.28,69.08,0,0,24.45,0,6.59,0,0
 48-58,0,0,23.74,0,0,2133.8,0,20.81,0,126.97,0.44,49.33,0,0.38,0,0,0.39,0,5.72,0.75,6.52,2.28,512.89,5.49,22.92,81.91,0,0,29.23,0,5.67,1.13,0
 60-70,0,0,52.11,0.82,0,886.62,0,38.89,0,340.46,0.72,32.88,0,0,0,0,0,0,93.83,0,17.56,0,144.12,5.84,23.32,113.48,0,0,18.53,0.9,10.81,3.26,0
 72-82,0,0,14.16,0,1.18,275.99,0,8.14,0,298.51,4.95,64.59,0.6,0,0.49,4.03,0,0,208.3,0,1.86,0,51.89,1.99,4.6,28.92,0,1.77,2.73,0.61,6.05,11.31,3.38
 84-94,0,0,6.84,2.7,1.52,224.02,0,12.72,0,258.1,2.55,34.97,0,1.92,0,2.24,0,0,190.69,0.59,1.36,0,24.61,5.59,27.79,54.8,0,0,10.33,0,2.55,0,0
 96-106,0,0,38.05,0,2.47,181.88,0.57,42.05,0,324.7,0,43.88,0,3.49,0.74,0,0,0,152.18,2.09,0,0.57,42.97,38.44,24.56,146.12,0,0,2.88,0.85,7.19,0,0
108-118,0,0.65,28.1,0,0,256.49,0,24.45,2.02,237.23,0,14.98,0.98,0.63,0,10.98,0,0,212.86,0,0,0.64,12.55,28.4,40.25,59.07,0,0,0.42,0,7.17,0,0
120,0,0,20.17,0,0,218.39,0,20.6,0,226.98,10.35,19.44,1.53,0,0,0,0,0,107.26,0,0,0,61.1,30.9,23.88,9.97,0,0,15.97,0,0,0,0
