stage,endoderm,eye,mesenchyme,neural,spinal.cord
 10-12,6.03,0,0,6.57,0
 14-21,0,0,0,1.26,0
 24-34,0,0,0,3.17,0
 36-46,0,1.43,0,0,1.32
 72-82,0,0,1.01,0,0
