stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.39,0,0,0,0,0,0
 14-21,0,7.03,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0
 24-34,0,18.79,0,0,7.96,0,0,0,0,0,0.73,0,0,0,13.82,0,2.42,0,0,0,0
 36-46,0,22.57,0,8.61,7.46,0,1.07,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0
 48-58,0,31.53,0,0,11.54,0,0,0,0,0,2.11,0,0,0.67,7.94,0.43,1.8,0,0,0,0.92
 60-70,0,19.05,0,5.92,25.56,0,0,0,0,0,0,0,0,0,6.37,2.44,4.09,0,0,0,0
 72-82,0,20.74,0,9.04,18.36,0.96,0.88,0.53,0.74,0,8.83,0,0.7,0,8.72,0,0,0,0,0,0
 84-94,0,29.25,0,3.88,21.47,0.75,0.75,0.97,0.55,0,6.81,0.62,0,0,1.62,0,4.52,0,0,1.9,0
 96-106,0,12.01,6.97,9.44,40.27,0,0,1.42,0.81,0,14.88,0,0,0,0,2.96,0,1.3,0,1.86,0
108-118,0,14.67,0,10.56,41.89,3.2,0,0,0,3.13,2.79,0,0,0,13.66,0,0,0,1.07,1.21,0
120,0,27.97,0,20.97,49.86,3.48,0,8.67,0,0,30.04,0,0,0,15.3,0,10.12,0,0,11.24,0
