stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,53.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,121.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.11,13.53,0,4.65,0,0,11.56,0,0,0,0,9.48,0,0,0,0,0,0,0,0,0,0,0,131.59,0,0,0,45.67,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.47,0,10.2,0,4.44,18.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.59,13.99,0,0,33.64,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,2.61,0,2.24,0,0,2.04,0,0,0,0,0,0,0,0,0.85,1.18,0,0,2.09,55.81,2.71,0,0,2.1,0,1.03,2.12,1.76,0,0,14.87,0,0,0.9,0,0
 24-34,0,0,0,0,1.7,0,11.45,0,0.83,0.75,0,0,0,0,0,0,0,0,0,13.17,0,0,5.93,130.64,9.07,0,1.04,0,0,4,0,0,0.76,0.94,27.03,0,0,3.79,0,0
 36-46,0,0,0,0.63,1.23,0,32.54,0,0,3.03,0,0,0,0,0,0,0,0,0,6.29,0,0.71,3.24,138.03,0,0.86,0.95,0,0,3.76,0,1.03,0,0,41.33,0,0,1.4,0,0
 48-58,0,0,0,0,3.7,0,37.6,3.52,2.31,15.37,0,0,1.06,0,0,0,0,0,0,28.75,0,0,0.72,109.11,6.97,0,0,0,0,2.42,0,0,0,0,16.1,0,0,3.58,0,0
 60-70,0,0,0,0,5.52,0,41,0,0,13.38,2.05,0,0,0,0,1.28,2.05,0,0,14.45,1.41,1.82,1.08,99.93,0,0,0,0,0,0.83,0,0,0,0,12.91,0,0,0,0,0
 72-82,0,0,0.93,0,0.64,4.59,42.05,0,0,7.8,0,0,0,0.66,0,0,0,0,0,28.23,0,0,0.69,64.47,0.88,1.07,0.53,0,1.08,3.56,0,0,0,0,6.68,0,1.23,0,3.97,0
 84-94,0,0,0,0,5.93,0,23.17,1,2.05,4.08,0.73,0,0,1.4,0,0,0,2.93,0,12.77,0,0,3.67,78.52,0,0,9.64,0,0,2.76,0,1.07,0,0,3.49,0,0,0.59,1.36,0
 96-106,0,0,0,0,0.65,0,34.93,0,0,13.66,0.94,0,0,2.24,1.04,0,0,0,0,22.38,0,0,0,29.64,0,1.62,1.19,0,0,3.96,0,0,0,0,0,0,0,6.95,0,0
108-118,0,0,0,0,0.52,2.32,30.45,0,0,9.87,0.45,0,0,0,0,0,0,0,0,22.1,0,3.97,3.17,61.08,0,1.61,0.76,0,0,2.26,0,0,0,0,0,0,0.5,1.77,0,0
120,0,0,0,0,5.66,1.88,35.84,2.2,0,24.2,0,0,0,21.05,3.69,0,2.89,7.68,0,34,0,11.39,0,165.56,1.08,0,14.84,0,0,7.9,0,1.22,0,0,6.99,1.63,0,14.6,0,8.94
