stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,8.51,0,0,0,0,0,0,0,0,23.83,0,0,0,0,0,0,2.11,0,0,6.76,34.54,0,0,0,9.35,0,6.39,0.89,182.06,37.81,2.76,0,0,0,0
 24-34,0.81,18.96,0,0,7.35,107.91,0,0,1.53,0,31.89,2.11,0.6,0,0,0,0.62,11.11,0,0,77.62,119.26,0,0,3.1,0,0,18.39,1.27,129.22,41.61,21.28,0,1.02,0,0
 36-46,0,10.37,1.06,0,12.07,224.16,0,0,1.03,0,12.39,0,0,0,0,0,0,5.86,0,0,45.64,118.16,4.56,0,0,0,0,12.73,0.63,130.13,3.7,40.14,0,4.47,0,8.92
 48-58,0,2.8,0.74,0,48.35,238.26,0,0,7.63,0.41,4.31,0.89,0,0,0,2.77,0,14.97,0,0.77,23.15,174.3,0,0.96,1.14,4.77,0.47,24.05,0,105.96,0,22.57,0,6.51,0,8.41
 60-70,0,1.44,0,0,42.8,191.8,0,10.08,21.72,0,0,0,1.4,0,0,0,0,14.05,5.63,2.87,29.67,89.66,0,0,3.17,0,0,20.31,0,54.49,0,9.76,0,6.62,0,0
 72-82,0,2.05,0,0,36.24,153.91,2.16,0,9.54,0,0.81,0,0,0.75,5.35,0.96,0,13.77,0,0,29.07,89.82,0,2.2,0,0,0,25.21,0,19.86,0,10.05,0,2.74,0,0
 84-94,0,1.62,17.68,0,26.31,172.34,0,1.51,8.79,3.25,0.76,0,0,0,0,1.04,0,10.6,0,3.19,38.06,101.3,0.94,3.9,1.36,0,0,95.43,0,32.01,0,11.28,2.23,3.4,0,0
 96-106,1.66,21.56,14.59,0.98,93.55,277.65,0.89,4.49,17.32,3.46,1.49,1.52,0,0,0,18.77,0,39.24,0,0,31.07,135.47,0,2.91,0,0,1.04,85.86,0,45.64,0,9.94,1.21,2.48,3.29,8.86
108-118,3.86,3.03,3.23,9.44,45.92,208.64,1,5.45,2.67,0,1.57,0,0.68,0,0,1.31,0,32.97,0.7,0,56.14,115.36,0,1.05,1.36,0,0,105.07,0,42.32,0,2.79,0,0.47,5.43,23.57
120,0,0,15.63,0,63.45,124.71,0,0,14.64,0,0,0,0,6.33,7.04,0,0,2.77,0,0,54.57,63.19,0,0,0,0,9.21,67.64,0,14.93,0,1.19,0,15.31,0,0
