stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.23,0,0,12.22,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,15.93,0,5.3,8.83,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,3.37,2.45,0,0,0,0.62,0,81.82,0,2.2,19.38,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,7.7,0.97,0,3.8,7.68,0,0,0,0,0,197.23,0,4.3,28.3,0,0,0,0,0,1.11,0,0.91,0,0,0.9,0
 60-70,2.04,0,0,12.18,0,0,6.76,29.48,0,0,0,0,0,447.19,2.08,7.4,52.94,0,0,0,0,7.67,0,0,0,3.21,0,0.61,0
 72-82,1.51,2.17,0,33.93,0,0,2.91,51.13,0,0,0,0,0,842.77,0,9.01,56.29,0,0,0,0,0.56,0,0,0.89,2.92,0,5.45,8.25
 84-94,0,0,0,39.05,0,0,3.55,32.16,0,2.1,0,0,1.81,602.88,0,9.21,22.33,1.14,0,0,2.74,3.65,2.41,0,0,6.27,3.71,10.36,0
 96-106,8.68,0,0.81,15.34,4.93,4.85,0.64,15.77,0,0,0,0,0,578.5,0.59,15.07,48.73,0,0,0,0,2.22,0,0,6.19,12.72,3.21,14.36,0
108-118,3.41,0,0,9.84,0,0,9.68,39.8,0.49,0,1.01,0.86,0,913.52,0,9.51,63.85,0.57,0.93,0,4.27,4.05,4.81,0,0,0,0.88,16.07,0
120,14.04,0,0,7.07,0,0,12.41,69.9,0,0,0,0,0,494.88,0,8.33,105.37,0,0,0,12.2,2.22,0,0,0,0,0,61.74,0
