stage,blastomeres,epidermis,eye,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.06,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,55.05,0,0,3.23,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,23.02,0,0,0,0,0,0,0,0,0
 14-21,0,0.89,0.81,0,0,0,0,0.9,0,8.17,0,0,0,0,6.11,0,0,1.6,0
 24-34,0,0,3.19,0,0,0,0,0,0.65,14.41,0.59,0,0,0,0.85,0,0,0,0
 36-46,0,0,2.72,0.89,0,0,0,1.52,0.66,18.02,0,0,0,0.93,7.72,0,0,0,0
 48-58,0,0,5.45,1.18,0,0,0,0.94,0,18.3,2.65,0,0,0.71,3.67,0,0.44,0,0.94
 60-70,0,0,12.73,0.85,0,0,0,0.7,0,10.96,0,0,0,0,1.23,0,0,1.37,0
 72-82,0,0.66,4.14,1.85,0.51,0,0,1.73,0,13.86,0,1.02,0,0,2.95,0.87,0,0,0
 84-94,0,0,8.18,1.64,0,0,0.64,1.52,0,0.66,0,0.93,0,0,0,0,0,0,0
 96-106,0,0,0.89,2.25,0,0.79,0,3.63,0,11.49,0,0,0,0,0,0,0,1.17,0
108-118,0,1.18,5.36,5.1,3.86,0.58,0,3.45,0,4.56,0,0,0,0,0,0,0,0,0
120,0,3.96,7.1,0,0,0,0,4.69,0,8.41,0,0,0,0,14.98,0,0,0,0
