stage,glial,mesenchyme,neural,periderm,spinal_cord
 48-58,0.48,0,0,0,0
 60-70,0,0,3.49,0,0
 72-82,0,1.77,0,3.01,0
108-118,0,0,0,0,4.6
120,0,0,8.61,0,0
