stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.56,0,0,0,27.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.04,0,0,0,0,0,0,0,0,38.07,0,0,0,4.01,0,0,14.35,0,0,0,0,0,0,0
 14-21,0,0.92,12.07,0,0,6.3,0,1.17,0,1.1,0,0,0,0,0,0,4.04,0,0,6.04,41.34,1.94,0,2.06,2.66,0,3.76,0,1.81,20.4,0,0,0,0,0
 24-34,0,0,2.05,0,0,7.18,0,0,0,1.62,0,0,0,0,0,0,4.88,0.69,0,0,42.16,0,0,0.74,0,1.05,0,0,0,14.57,0,0,0,0,0
 36-46,0,0,0,0,0,1.22,0,0,0,0.76,0,0,0,6.5,0,0,0,0,0,0,8.76,9.74,1.11,0,0,1.47,0,0,0,3.44,0,0,0,0,0
 48-58,0,0,1.71,0,0,13.17,0,0,0.41,1.1,0,0,0,0.39,0.65,0,10.55,0,0,0.4,51.48,0,4.14,0,0,0,0,0,0,17.63,0,0,1.41,0,0
 60-70,0,0,2.98,0,0,25.46,0,0,0,3.24,1.58,0,0,0,0,0,8.4,0,0,0,87.23,0,2.69,1.84,0,8.24,0,0,0,9.18,0,0,0,0,0
 72-82,0,0,9.87,0,0,57.97,1.95,2.07,0,9.14,0.71,0,0,0,4.64,0,62.95,2.35,0,4.49,194.59,0,3.05,5,0,3.8,0,0,0,22.51,0,0,0.76,0,2.1
 84-94,0,0,0,1.21,0,27.32,0,2.44,3.61,4.52,0,0,0,0,1.43,0,9.55,1.03,0,0,37.76,1.88,0.9,4.57,0,0.74,0,0,0,8.46,0,0,2.48,0,0
 96-106,0,0,0.65,1.8,0,12.52,0,0,0,4.48,0,0,1.34,0,2.33,0,13.46,0,0,1.08,14.69,0,3.22,3.16,0,4.61,0,0,0,7.11,0,0,2.17,2.14,0
108-118,0,0,1.97,0,1.46,38.9,0,1.07,5.14,17.03,1.65,0,0.97,0,1.64,0.76,27.59,0,0.74,2.28,70.72,0.77,0,11.12,0,7.11,0,0,0,9.28,0.91,0.5,1.54,0.48,2.08
120,0,0,2.06,0,0,19.37,0,0,0,3.24,0,0,0,0,0,0,6.35,0,0,1.54,0,0,0,0,0,10.85,0,0,0,0,0,0,0,0,0
