stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,13.67,267.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,0,0,0
  5-6,0,217.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0
  7-9,0,0,11.83,0,0,4.54,0,5.83,0,0,0,0,0,66.78,0,44.85,4.29,4.58,0,0,0,0
 10-12,0,6.05,0,0,0,9.14,0,0,0,0,0,0,0,66.32,4.6,53.06,0,0,0,8.1,0,0
 14-21,0,0,0,0.88,1.12,0,0,0,0,0,0,0,0,8.05,0,0.81,0,0,0.88,0,1.73,2.35
 24-34,0,0,0,0,0,0.76,0,0,0.76,0,0.61,0,0,14.78,0,0,0,0,0,0,0,1.94
 36-46,0,0,0,0,0,1.22,0,0,0,1.54,0,0,0,9.87,0,0,0,0,0,0,0,1.91
 48-58,0,0,0,1.91,0,1.24,0,0,0,0,0,0,0,5.91,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.71,0,0,0,0,0,1.15,9.66,0,0,0,0,0,0,0,1.05
 72-82,0,0,0,0,0,2.24,0.53,0,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0.57
 84-94,0,0,0,0.98,0,0.66,0,0,0,1.73,0,0.76,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.51,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.87,0,0,0,1.16,0,0,0,1.85,0,0,0,0,0,0,0,0
120,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
