stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.12,755.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.79,0,0,0,0,0,0,0,0,0,0
  5-6,38.37,1406.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.44,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0
  7-9,6.73,71.57,20.68,0,0,148.1,0,0,0,0,0,6.77,0,0,0,0,0,0,0,0,0,0,0,1126.93,3.34,0,0,338.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,33.92,80.23,0,0,81.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935.75,13.11,0,0,312.96,0,0,0,23.41,0,0,0,0,0,0,0,0
 14-21,0,0,8.57,52.32,22.68,55.22,0,0,0,14.67,1.85,0,0,0,7.19,0,1.25,0,0,54.69,0,0,48.65,790.24,27.17,1.22,10.66,16.83,0,6.98,33.53,6.24,5.06,29.79,223.78,0,0,12.69,0,0
 24-34,0,0,2.01,25.83,3.66,140.24,0,2.19,1.47,20.66,0.67,0,3.6,1.47,5.24,0,2.17,0.96,0,88.17,0,1.21,41.93,997.3,3.63,8.67,6.07,0,0,38.44,0,0,0,7.33,186.23,0,0,21.54,0,2.07
 36-46,0,0,0,14.01,1.95,312.03,0,2.92,3.33,15.36,1.58,0,0.56,9.08,7.18,4.15,0.88,0,0,79.37,3.65,4.42,24.23,656.85,0.57,5.08,5.48,0,0,28.67,0,2.13,0,0,109.65,0,0,1.15,0,0
 48-58,0,0,0,13.34,0.44,300.87,1.02,5.9,2.74,53.7,2.83,0,0.95,0.87,3.13,0.83,0,1.73,2.2,94.01,1.54,1.79,24.48,334.21,4.53,1.27,1.47,0,0,13.84,0,0,0,0,59.19,0,0,8.12,0,3.54
 60-70,0,0,0,28.36,1.34,253.28,0,0.91,9.67,59.58,1.24,0,0,0.8,2.65,0.58,0,0,0,77.82,0,9.38,12.19,257.08,0.63,1.82,1.61,0,5.48,16.81,0,2.06,0,0,30.13,0,0,2.1,0,8.69
 72-82,0,0,0,21.94,13.61,91.31,0,0,1.83,18.63,2.09,0,0.58,7.1,0.73,0,0,0,1.18,83.32,0,2.58,15.45,119.16,2.17,0,12.05,0,0,9.65,0,4.26,0,0,4.38,0.92,0,12.05,3.33,1.17
 84-94,0,0,0,22,4.79,81.03,0,2.72,4.11,48.45,0.57,0,1.18,6.81,1.63,4.01,0,0,0,73.96,0.97,8.37,14.02,94.35,2.74,2.73,5.04,0,0,22.04,0,0.62,0,0,3.77,0.83,0,13.48,1.53,0
 96-106,0,0,0,17.61,11.73,62.92,0,0,0.81,27.19,0.6,0,2.05,12.94,3.29,1.31,0,0,0,66.56,0,0.76,7.57,97.22,0,3.16,2.39,0,0,29.5,0,0.81,0,0,4.6,0,0.78,7.53,1.12,0
108-118,0,0,0,18.96,1.88,63.75,0,2.36,2.44,42.11,3.42,0,0.51,13.42,0.82,1.51,0.6,0,0,53.59,0.42,0,6.15,126.07,0.51,1.45,3.73,0,1.8,39.88,0,0.86,0,0,0,3.23,0,19.32,0,2.31
120,0,0,0,28.13,4.79,43.09,0,2.53,0,93.6,0,0,0,18,0,3.99,0,0,0,120.98,0,2.22,9.99,107.23,6.66,0,5.44,0,4.59,13.07,0,2.36,0,0,0,0,0,27.1,0,0
