stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,16.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.48,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,4.52,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.41,0,0,0,0,0,0
 24-34,0,0.82,0,0,2.15,0,0,0,0,0,0,0,1.24,2.12,0,15.87,0,0,0,435.39,0,0,0,1.49,0,0
 36-46,0,6.72,0,0,2.89,2.99,0,0,0,0,0,6.95,0,3.75,0,10.78,0,1.42,0,1596.99,0.82,9.89,0,0,0,0
 48-58,0,4,0.81,0,2.41,10.17,1.35,0,0,0.41,0,0,5.69,7.79,0,13.89,0,2.77,0,1470.01,0.52,6.05,0,0,0,1.99
 60-70,0,6.29,0,0,5.08,8.42,5.92,0,0,0.62,1.91,0,0.93,2.16,0,6.43,0,0,0,1284.64,0,3.7,0,0,0,0
 72-82,0,3.59,0,0,4.05,3.8,0,0,0,3.54,0,0,1.78,10.97,0,19.81,0,0,1.12,768.31,0,0,0,0,0,0
 84-94,0,11.93,5.36,0,4.2,17.32,1.2,0.97,0,6.05,0,0,0,7.27,0,22.32,0.74,3.67,0,2063.49,0.59,0,0.68,0,0,0
 96-106,0,18.32,1.48,1.12,14.19,8.91,1.05,1.28,0.58,10.69,5.73,0,1.57,14.9,0,62.83,0,0,0,1888.31,0.64,0,0,0,1.67,0
108-118,0,11.65,2.11,0,1.41,23.12,5.18,0,0,19.14,0,0,1.08,21.71,0,21.31,0,0,0,2122.16,0,0,0,0,1.13,0
120,0,13.3,0,0,0,18.31,1.65,0,0,9.83,0,0,3.68,16.67,10.02,47.51,0,8.55,0,1041.28,0,0,0,0,0,0
