stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,85.35,1433.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.48,0,0,0,0,0,0,0,0,0
  5-6,70.36,3692.38,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,606.39,11.17,0,0,145.59,91.69,0,0,0,0,0,0,0,0,0
  7-9,81.83,186.97,92.61,0,0,202.75,0,0,0,0,54.85,0,0,0,0,0,0,0,0,0,0,0,3518.71,86.66,0,0,2010.79,56.22,0,0,12.75,0,0,0,0,0,0
 10-12,0,152,194.91,0,45.92,120.67,0,0,0,0,4.15,0,0,0,0,0,3.73,0,0,0,0,11.62,5006.27,59.44,0,0,1814.29,35.52,0,15.62,195.31,0,23.05,6.79,0,0,0
 14-21,0,2.34,42.9,7685.62,454.18,241.26,0,0,33.05,40.41,6.68,7.26,0,214.65,1.73,0,16.39,3.4,327.6,2.26,0,534.89,9648.31,57.48,31.63,324.34,459.59,1498.44,1.53,2402.37,220.73,594.6,3677.72,2626.87,0,0,5.61
 24-34,0,0,0,102.04,0,11.28,4.71,0,5.37,0,0,0,0,16.86,0,12.35,0,0,20.74,8.77,0,5.26,718.57,0,46.25,0.6,0,705.8,0,0,7.08,7.36,9.66,52.34,0,1.76,10.81
 36-46,0,0,0,4.97,0,5.15,0.68,0,3.86,0,0,0,0,0,0,0.84,0,0,0.74,1.28,0,3.79,244.65,0.75,5.46,0,0,148.3,0,0,0,4.99,0,9.25,0,0,0
 48-58,0,0,0,2.46,0,15.68,0,0.9,6.31,0,0,0,0,0.53,0,0,0,0,3.12,0,0,1.72,135.84,0,6.85,0,0,40.61,0,0,0,0,0,14.49,0,1.81,0
 60-70,0,0,0,0,0,19.65,0,0,8.54,0,0,0,0,0,0,1.22,0,0,6.27,0,0,3.55,55.04,0,4.29,0,0,26.68,0,0,0,0,0,0,0,2.31,0
 72-82,0,0,0,0,0,30.34,0,0,8.55,0,0,0,0,0,0.76,0,0,0,7.85,0,6.29,0,31.31,0,0.5,1.48,0,14.69,0,0,0,0,0,4.53,0,3.46,0
 84-94,0,0,0,1.75,0,26.56,0,0,5.24,0,0,0,0,0.92,0,0,1.78,0,0,0.65,0,0,30.4,0,0,0,0,80.96,0,0,0,0,0,11.59,1.7,0.84,0
 96-106,0,0,0,1.02,0,38.97,9.15,0,2.62,0,0,0,0.96,0,0,0,0,0,6.32,0,0,0,29.99,0,0,0,0,39.32,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.56,0,21.56,0,0,3.66,0,0,0,0,1.33,1.05,0.82,0,0,7.87,0,0,0,28.81,0,1.19,0.51,0,33.06,0,0,0,0,0,0,0,0,0
120,0,0,0,4.26,0,19.62,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.82,0,9.85,1.47,0,26.64,0,0,0,0,0,0,0,0,0
