stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,immune,liver,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,9.65,280.74,0,0,0,0,0,0,0,0,0,0,0,0,22.68,0,0,0
  5-6,0,521.29,10.71,0,0,0,0,14.25,0,0,0,68.54,19.42,9.21,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,72.3,13.24,4.06,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,20.44,0,0,0,0,3.78,0
 14-21,0,0,0,0,0.81,0,0,0,0,0,0,1.18,0,0,0,0.82,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.96,0,19.39,0,0,0,0,0,7.35
 36-46,0,0,0,1.24,5.04,0,0,0,0,0,0,16.73,0,0,0,0,0,0
 48-58,0,0,0,2.35,4.5,0,0,0,0,0,0,12.92,0,0,0,0,0,1.53
 60-70,0,0,0,0,3.05,0,0,0,0,0,0,15.93,0,0,0,0,0,0
 72-82,0,0,0,0,4.52,0,0,0,0,0,1.3,9.55,0,0,0,0,0,0
 84-94,0,0,0,0,15.36,1.18,0,0,0.7,0,0,0.61,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0
108-118,0,0,0,0,5.44,0,2.78,0,0,0,0,15.18,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.52,23.97,0,0,0,0,0,0
