stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.75,0,0,0,0,0,2.01,0,0,4.82,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,40.54,0,0,1.57,0,0,0,9.97,0,0,0,0,4.22,0,0,11.49,0,0,0,0,0.77,17.33,0,0,1.81,0,0,5.8,0,2.98,0,7.43,0,0,0.85,0,0
 36-46,0,0,0,305.59,0,0,5.07,0,4.78,0,20.65,0,0,0,0,44.89,0,0.75,11.2,0,0,24.82,0,1,59.02,0.67,0.84,1.31,0,0,205.21,0,21.52,0,39.73,0,0,0,0,0
 48-58,0,0,0,957.89,1.15,0,77.08,0,37.55,1.48,68.62,0,1.19,1.51,0,98.29,0,3.32,1.93,0,15.44,23.3,2.03,2.01,147.44,5.13,4.76,3.27,0,0,1493.52,0,3,0,109.69,0,0,0,0,7.81
 60-70,0,0,0,2104.95,4.56,0,183.3,0,49.92,0,596.38,0,17.13,0,1.47,242.57,0,13.99,18.52,0,74.41,44.19,1.04,1.74,188.99,6.69,0,0,0,0,2946.84,0,14.89,0,65.28,0,0,0,1.13,10.27
 72-82,0,0,0.56,3334.64,12.98,0,227.02,0,95.14,2.82,897.51,11.57,0,0.93,4.67,431.04,0,4.63,9.54,1.31,100.54,121.68,14,9.67,344.56,11.05,7.83,6.14,0,0,4511.11,1.65,21.31,0,37.36,6.43,1.57,7.38,1.42,15.52
 84-94,11.69,0,0,6495.89,14.51,0,214.77,4.03,318.16,1.83,876.98,17.49,0.77,0,1.66,1269.54,3.47,4.28,10.9,3.88,89.7,166.16,0,4.84,233.39,0.73,0.64,9.03,0,0,12382.03,0,86.96,0,75.08,3.48,0.68,4.02,7.64,12.92
 96-106,0,5.2,4.81,10487.48,49.56,6.51,402.22,18.28,429.65,10.14,1384,47.18,0,3.19,12.85,1338.73,0,32.36,46.99,3.42,133.95,323.52,6.44,19.68,697.1,1.72,7.48,1.42,1.2,0,13471.39,0,74.53,8.14,37.84,12.52,2.06,32.32,5.1,33.83
108-118,5.63,0,0,11054.67,14.69,14.6,197.18,0,546.36,1.85,1162.13,50.78,0,4.49,11.3,1982.3,7.23,18.13,83.16,0,157.19,386.16,6.43,8.55,456.42,5.47,16.15,8.98,0,2.26,11489.57,0,118,1.33,12.07,27.03,3.47,7.67,4.72,6.7
120,0,0,0,8245.48,17.62,15.19,161.4,2.22,345.94,14.33,975.19,17.31,0,0,41.07,826.67,0,18.85,15.26,0,33.85,224.17,0,6.94,484.16,4.1,4.41,22.18,0,1.79,6592.2,0,113.27,0,24.24,1.12,0,33.76,0,18.23
