stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,0,0,0,0,0,0,1.98,5.72,0,0,0,0,0
 24-34,0,0,0,0,1.97,0,0,1.44,0,0,1.67,0,0,0,0,0,0,0,0.82,0,0,0,529.81,0,1.45,2.6,0,0.74,1.75,0,60.66,0,0,0,0,0
 36-46,0,0,0.73,0,2.69,0,0,12.38,0,0,1.8,0,0,0,0,0,0,0,3.26,0,0,0,1689.24,0,1.45,11.4,0,0.59,0,0,247.53,0,0,0,0,0
 48-58,0,0,0,0,15.82,0,0,111.68,0,0,28.7,0,0,0,4.83,0,0,0.6,11.51,0.7,6.25,2.08,4473.72,5.29,0.88,5.35,0,1.59,0,0,245.49,0,0,13.59,0,10.49
 60-70,0,0,0,0,12.1,0,0,380.64,0,1.67,79.95,0,0,0,0,0,0,0,18.79,0,0,0,7108.15,0,0,0,0,1.23,0,0,348.25,1.72,0.8,0,0,0
 72-82,0,0,0.69,0,20.36,1.39,0,495.91,0,0,130.54,0.55,0,0,5.59,0,2.73,0.95,33.41,0,0,1.66,8091.05,0,0,1.61,1.4,0.96,0,0,262.24,0,4.39,4.17,0,1.71
 84-94,0,0,2.06,0,21.22,0.83,0,578.59,0,3.23,68.41,0.85,0,1.29,0.67,0,0,0,30.88,0,2.86,0.75,5416.98,0,0.8,8.53,0,5.12,0,0,198,0.9,1.69,0,2.72,0
 96-106,0,0,1.64,0,27.3,1.54,25.58,415.75,0,0,85.32,0,0,0,0,5.58,1.54,0,30.6,0,4.11,5.02,4456.75,0,0.93,4.46,2.34,0.94,0,0,127,4.84,0,0,0.64,8.09
108-118,0,0,5,0.74,24.6,4.37,0,448.93,0,0,100.29,0.58,1.03,4.07,0,0,0,0,34.88,0,0,2.45,4773.94,1.47,5.25,3.48,0,3.37,0,0,63.23,0.68,0,0,0,0
120,2.82,0,0,1.28,44.39,0,0,676.24,19.4,0,110.68,0,0,4.1,0,0,18.25,0,78.47,1.65,0,0,7713.58,2.85,4.01,9.66,2.67,0,0,0,132.36,0,0,4.29,0,0
