stage,epidermis,eye,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
 14-21,1.03,0,0,0,0,0,0,0,0,0.93,19.27,0,0,0,0,3.16,0,0
 24-34,0.62,7.57,0,2.79,0,0.7,0,0,6.29,0,32.67,0,0,0.99,0,9.28,0,0
 36-46,0.63,10.9,0,0.84,0,0.63,1.49,0,2.82,0,47.05,0,2,0,0,8.74,0,0
 48-58,2.06,41.95,0,1.28,0,0,0,0,6.33,2.71,29.05,0,0,0,0.4,0.99,0,0.86
 60-70,0,20.11,0,1.64,0.95,3.74,0,0,9.29,0,7.56,0,0,0,0,0,0,2.31
 72-82,0,18.08,0.54,2.33,0,0.93,0,0,4.87,2.04,8.74,1.43,0,0,0.57,0,0,0
 84-94,0.87,7.76,0,0,0,0,0,0,3.41,0.93,3.65,0,0,0,0,0.63,0,0
 96-106,0,9.76,0,0,1.37,0,0,1.32,0.79,0.81,5.84,0.66,0,0,0,0,1.7,0
108-118,0,0.74,0,0.63,0,0,0,0,0,0,3.08,0,0,0.43,0,0,0,0
120,0,4.56,0,17.82,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0
