stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,214.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.25,98.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.34,0,0,0,0,0,0,0,0,0,5.09,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,14.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.21,0,0,0,4.11,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,1635.04,0,0,0,30.9,0,0,0,15.47,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,3260.86,1.46,0,4.64,0,4.21,0,1.27,0.96,4.54,0,45.68,0,0.92,0.97,0,0.95,8.95,0,2.09,76.12,2.71,2.57,0,0,0,136.25,1,0.94,0.83,11.16,9.26,0,0,0,0,0
 24-34,0,0,0,0.67,2836.04,9.25,0,8.8,0,85.35,0.74,0.67,0,0,0,3.1,9.21,3,0.84,0,17.78,37.54,0,8.04,169.76,14.53,3.84,2.19,0,0,161.44,0,1.04,0,0.62,29.58,0,0,10.13,0,0
 36-46,0,0,0,0.56,2695.78,0.61,0,12.98,0,434.67,0,2.88,0,0,2.2,13.7,0,20.27,0,10.95,3.34,20.7,0,4.74,160.18,0,6.41,3.05,0,0,238.73,0,0,0,0,63.65,0,0,0,0,5.33
 48-58,0,0,0,0,2402.17,0,0,42.71,0,707.16,6.1,9.67,0,0,0,2.35,0.46,10.8,0,1.78,25.37,13.64,0,2.56,225.19,0,0,29.39,0,0,206.45,0,0,0.47,0,62.87,0,0,6.24,0,3.92
 60-70,0,0,0,0,2813.36,1.61,0,58.92,0,968.61,5.94,14.82,6.3,1.71,1.76,6.98,0,14.94,0.72,0.72,19.74,33.26,0,1.65,293.28,1.57,2.61,25.43,0,0,488.13,0,4.87,0,0,67.33,21.49,3.97,0.84,1.56,7.7
 72-82,0,0,0,2.81,2245.31,13.78,0,99,0,741.96,2.3,17.39,7.57,0,0,8.69,0,69.67,0.62,1.79,22.1,32.37,1.72,0,475.01,0,5.46,56.33,0,0,518.99,0,0,0,0,41.28,33.25,0.57,2.27,2.24,0
 84-94,0.62,0,0,6.59,4383.67,2.48,0,99.39,1.92,1335.79,1.43,12.56,36.25,0,1.39,34.34,0.62,54.81,0,0,11.73,43.56,0,6.06,306.84,0,10.17,38.3,0,0,1333.38,0,1.37,0,0,37.14,129.11,0,5.58,1.47,0
 96-106,0,0,1.2,20.27,5376.47,30.58,10.88,140.41,0.69,1409.09,5.43,35.58,171.23,0,4.98,79.16,0,90.88,3.15,0,48.43,81.68,0,8.95,482.42,0.89,45.67,51.91,0,2.14,1486.77,0,1.34,0,0,23.93,297.49,0,6.69,0.91,6.38
108-118,2,0,0.54,22.25,5227.39,8.3,5.82,108.8,1.2,1742.82,3.54,47.84,302.43,0,4.41,127.22,2.77,87.02,2.97,0,30.49,56.21,5.04,1.72,560.85,1.42,13.13,46.98,0,0,1022.47,0,13.04,0,0,43.62,377.91,0,1.73,5.44,3.82
120,7.29,0,0,14.22,4152.92,6.53,0,71.94,3.6,1252.52,9.22,20.68,85.89,0,15.04,47.8,0,155.83,10.19,1.6,22.68,59.78,0,5.62,1054.7,2.28,18.6,200.93,0,8.63,1051.04,0,0,0,0,44.16,165.29,0,0,3.69,29.72
