stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.88,8.2,11.32,0.81,0,0,0,1.19,7.96,7.35,0,0,0,0,0,0,5.11,0,0,53.31,142.87,43.6,0,0,28.23,0,0,124.6,0,1.44,16.45,25.03,0,1.09,0,0
 24-34,0,0,3.44,0,23.38,0,0,0,8.87,0,0,0,0,0,0,0,0,5.02,0,0.81,2.46,371.34,1.98,1.01,1.37,0,0,0.8,0,0,0,2.25,58.5,0,1.51,0,0
 36-46,0,0.56,0,0,67.98,0,0,0,3.89,0,0,0,0,0,0,0,0,11.23,0,0,0.62,399.24,0,4.88,0.74,0,0,13.23,0,0,0,0.67,80.08,0,0,0,0
 48-58,0,0,7.96,0,405.89,0.74,0,0,10.94,0,0,0,0,0,0.41,0,0,9.49,0,0.56,0,97.27,0,0,2.08,0,0,0.56,0,0,0,0,36.53,0,1.81,0,0
 60-70,0,0,5.9,0,1118.42,0,1.89,0,1.04,0.64,0,0,0,0,1.16,0,0,26.81,0,0.79,0,116.67,0,1.22,0,0,0,1.94,0,0,0,0,1.86,0,0,0,0
 72-82,0,0,1.5,10.29,1450.91,0,0,2.56,10.54,0,0,0,0,0,0,2.84,0,17.14,0,0,0.77,74.64,2.6,0,1.04,0,0,1.19,0,0,0,0,6.53,0,0,1.08,0
 84-94,0,0,0,0,1283.05,0,0,1.17,4.67,0.6,0,0,2.24,0,0,0,0,16.07,0,5.34,2.52,30.32,1.93,0,0,0,0.83,8.57,0,0.73,0,0,0,0.7,0.86,2.96,0
 96-106,0.94,0,1.63,13.8,965.52,0,0,0,5.5,0,0,0,0,0,1.37,0,1.38,7.79,0,0,2.4,18.07,0,0,0,0,0,3.37,0,0,0,0,0,0,8.46,0.64,5.49
108-118,0.75,0,4.68,4.31,772.45,0,0,0,1.11,0,0,0.93,0,0,0.52,0,0.97,10.54,0,0,0.5,37.75,0,1.68,0,0,0,3.53,0,0,0,0,0,0,0,0,0
120,0,0,4.29,0,601.95,1.61,0,0,4.14,0,0,0,3.58,4.71,3.92,0,0,9.73,6.68,0,0,63.18,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,0
