stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,4.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.06,0,0,1.48,0,0,0,2.15,0,0,0,0.97,0,0,0.81,0,26.34,0,0,0,0.87,0.84,1.7,0,2.55,14.17,0,0,0.9,0
 24-34,0,0,0,1.03,0,4.96,0,0,0,0,0,0,1.13,0,0,0,8.82,0,26.71,2.06,0.63,0,0,0,0,0,0.72,18.12,0,0,0,0
 36-46,0,0,12.56,0,0,3.72,0,0,0,0.86,0,0,0,0,0,0,2,0.95,38.33,2.43,0,0,11.64,0,0,0,0,8.58,0,0,0,0
 48-58,0,0,0,0,0,18.31,0.38,0,0,13.74,1.98,0,0,0,0,0,2.7,0,60.64,0,4.44,0,4.86,0,0,0,0,0.81,0,0,0,0
 60-70,0,0,0,0,0,51.51,0,2.25,0,0.6,0,0,0,0,0,0,4.69,0.92,43.3,0,0,0,0,0,0,0,0,2.51,0,0,0,0
 72-82,0,0,5.58,0,0,20.68,0,0,0.67,4.38,2.03,0,0,0,0,0,7.58,4.42,36.03,5.14,0,0,0.63,0,0,1.5,0,2.41,1.34,0.67,0.97,0
 84-94,0,0,0,0,0,16.67,0,0.62,0,2.54,0,0,0,0,0,0.68,12.82,0,24.31,0,1.27,0,0,0,0,0,0,1.03,0,0,1.36,0
 96-106,0,0,0,1.29,0,8.56,0,0,0,4.26,0,1.06,0,0,1.01,0,2.83,4.65,17.23,7.31,1.69,0,0,0,0,0,0,0.63,0,0,0,0.62
108-118,0,0.49,0.48,0.64,0.43,3.11,3.73,0,0,1.14,0,0,0,0,0,0,9.11,1.95,31.42,2.7,0,0,0,0,0,0,0,0,0,0,0,4.04
120,0,0,3.03,0,1.6,0,0,0,3.1,15.27,0,0,0,0,0,0,14.96,5.66,22.72,0,1.05,0,1.06,0,4.05,0,0,0,5.08,0,1.59,0
