stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,38.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.86,0,0,0,0,0,0,0,0,0
  5-6,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.02,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.52,0,0,3.97,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,168.87,4.54,0,0,57.12,0,0,0,4.44,0,0,0,0,0,0,0
 14-21,0,0,0,24.49,0.99,1.97,0,0,0,0,0,0,0,3.33,0,0,3,0,0,8.05,0,0,1.86,192.36,3.14,0,1.02,0,0,0,2.07,1.78,4.05,4.64,0,0,0,0,0
 24-34,0,0.66,0,7.52,1.87,0,0,0,0,0,0,0,0,10.24,0,0,12.49,0,0,66.58,0,0,2.11,98.52,8.38,0.88,0,0,0,6.2,0,0,0,6.82,0,0,0,0,1
 36-46,0,0,0,2.23,0,0,0,0,0,0,0,0,0,16.71,0,0,1.22,0,0,195.77,0.63,0,0,124.02,2.68,0,1.36,0,0,5.26,0,0,0,11.33,0,0,0.79,0,7.72
 48-58,0,0,0,10.86,0,10.65,0,0.5,0,13.41,0,0,0,23.57,0.66,0.63,3.45,0,0,304.96,0,0,4.22,160.96,2.49,0,0,0,0,5.49,0,0,0,25.34,0,0,0.56,0,37.84
 60-70,0,0,0,10.94,0,13.9,0,1.31,0,0,6.11,0,0.93,62.49,2.09,0,4.39,0,1.24,381.06,3.08,0,0.69,138.48,0,0.84,0,0,0,8.45,0,0,0,12.36,18.6,0,8.07,0,108.97
 72-82,0,0,0,12.25,0,26.71,0,4.54,0,7.07,6.35,0,0,126.89,3.49,0,9.92,3.3,0,423.5,0.78,0,1.84,167.4,0.86,2.89,0,0,0,2.78,0,0,0,2.52,32.48,0.61,6.09,0.84,162.37
 84-94,0,0,0,16.61,6.11,22.91,1.17,0,6.72,16.92,1.31,0,0,224.78,7.12,0,8.98,0,0,520.35,4.44,0,0,128.98,2.58,0,0,0,0,5.01,0,0,0,10.73,111.4,2.93,5.39,0,94.9
 96-106,0,0,0,18.29,8.33,29.54,0,0,0,12.57,5.55,0,0,292.05,9.92,0,9.45,0,0,399.72,1.58,1.82,0,128.97,2.07,0.79,0.65,0,1.57,5.23,0,0,0,2.31,73.61,0,11.25,2.83,86.4
108-118,0,0,0,9.51,2.73,24.07,0,1.48,0,12.27,5.3,0,0,342.62,13.97,0,12.29,0.86,0,374.85,0,0,0,156.53,0.55,0,1.1,0,0,8.11,0,0,0,0.94,111.91,0,4.7,0,140.08
120,0,0,0,13.37,0,14.83,0,3.6,0,25.56,12.99,0,0,665.2,6.16,0,2.88,9.76,0,404.3,0,0,5.02,165.98,9.52,0,2.8,0,0,9.6,0,0,0,3.82,66.09,0,7.91,0,83.41
