stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0,0,2.77,0,0,0,0,6.15,0,0,0,0,0,0
 48-58,0,3.49,0,0,5.26,0,0.44,0,6.84,0.54,0,0,0,7.83,0,0,0,0,6.32,20.12,0,0,18.83,0,0.5,0,0,260.26,0,0,0,0,0,1.04
 60-70,0,21.89,0,0,32.04,0,8.28,0,4.8,8,0,0,0.98,2.91,0,8.39,0,0,2.72,7.66,0,1.41,26.05,0,0,0,0,1093.94,0.73,5.44,3.21,0,0,0
 72-82,0,112.94,1.57,0,52.18,0,36.87,0.93,18.98,0,0,0,0.53,19.6,0.59,0,0,0,13.33,48.98,0,1.57,94.32,1.58,0,0.56,0.72,2752.69,0,11.14,0.69,0,0.93,0.55
 84-94,0,304.34,0.71,0.6,61.24,0,112.54,0,18.75,5.49,0,0,4.09,105.07,0,0,3.36,0,19.18,76.87,1.32,8.34,100.81,0,0,0,0,10091.9,0.73,11.34,0.55,2.31,0,0
 96-106,0,442.86,26.23,0.72,109.04,1.43,77.57,1.73,29.61,2.48,0,0,2.05,81.01,0,2.44,11.25,7.1,38.17,101.51,0,3.87,197.92,0,2.74,5.7,0.97,6882.61,0,6.18,4.9,10.33,4.2,7.48
108-118,0,641.27,11.93,1.86,50.69,0,127.39,1.02,14.49,7.09,0,4.34,5.53,122.94,0.86,4.98,8.62,0,37.42,146.64,0,5.93,136.76,0,0.59,0,2.98,6324.57,0,2.28,1.4,4.28,2.05,3.44
120,0,436.47,2.16,0,34.89,0,59.43,0,3.25,0,0,0,1.11,29.24,0,0,2.18,0,12.53,82.89,0,0,83.85,0,3.36,2.3,0,2514.2,0,0,0,0,0,0
