stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,20.18,0,0,0,0,0,4.48,0,0,0,0,0
 14-21,0,8.01,0,0,0,0,0,0,0,1.91,0,2.19,9.92,0,0,1.44,0,3.12,2.25,0,0,0,3.03,0
 24-34,0,0,1.29,0,0,0,0,0,0,1.6,0,0.61,18.22,0,0,0,0,0,1.04,0.61,2.04,0,1.66,0
 36-46,0,5.71,2.77,1.4,0,0.82,0,0,0,0,0,1.13,28.66,0,0,0,0,0,0.79,0,4.79,0,0.6,0
 48-58,0,0,32.08,0,0,0,0.49,0.58,0,6.03,0,0,22.62,0,0,0,0,0,0,0,3.4,0,0.82,0
 60-70,0,18.95,32.77,0,0,0,1.86,0,0,10.04,0,0.6,52.28,0,0,0,0,0,0,0,9.4,0,0.89,0
 72-82,0,0.62,21.94,0,0,0,3.19,1.7,0.81,34.44,0.72,0,64.97,0,0,0,0,0,0,0,6.14,0,0.98,1.07
 84-94,1.05,0,30.47,0,0.62,0,0,0.99,0,29.67,0,0,54.56,1.37,0,0,0,0,0.67,0,1.52,0,3.11,1.59
 96-106,0,0,48.98,0,0.63,0,5.47,5.48,0,26.93,9.02,0,52.98,0,0,0,4.17,0,0,0,3.54,0,3.51,3.9
108-118,0,0,35.91,0,0,0,3.12,4.75,0,32.79,0,1.67,71.14,1.35,1.09,0,0,0,0,0,0,0,1.1,0.96
120,0,0,32.05,0,0,0,10.97,7.48,0,34.04,0,0,96.52,0,0,0,0,0,1.58,0,0,3.14,0,8.14
