stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,0.89,0,0,6.15,0.96,0,2.08,0,0,0,0,0,0,9.21,0,0,0,0,5.17,2.86,39.51,0,1.24,0.99,0,3.97,1.78,1.18,12.19,0,0,0
 24-34,0,0,0.7,2.39,0.99,0,8,0,0.71,0,0,0,0,4.99,1.61,2.13,18.78,4.35,7.64,2.42,104.68,0,1.56,0,9.05,0,0.87,0,20.69,0,0,1.7
 36-46,0,0,0,10.84,0,0,73.45,0,0,0.75,2.22,0,1.28,6.4,0,0,28.36,0,3.42,0,106.68,0,0,0,5.32,0,0,0,20.53,0,0,0.91
 48-58,0,0,0,0.55,5.2,0,54.87,0,0,1.08,3.81,0,0,2.06,0,0,0.46,0,7.28,1.48,68.33,0,0,0,0,0,0,0,17.74,0,0,0
 60-70,0,0,0,2.68,0,0,51.13,0,0,0,4.1,0,0,0,0,0,2.82,0,6.91,1.13,76.64,0.93,0.99,0,6.08,0,0,0,11.5,0,0,0
 72-82,0,0,0,1.71,0,0,25.41,1.95,0,0,1.29,0,0,6.28,0,0.68,3.92,0,9.88,4.4,55.38,0,0,0,2.76,4.38,0,0,2.81,0,0,0
 84-94,0,0,0,1.95,0,0.59,18.47,0,0,0,1.69,4.86,0,1.57,0,0,23.99,0.72,10.27,1.74,14.91,0,2.6,0,7.16,0,0,0,0.94,0,0.84,0
 96-106,0,0,0,1.52,0,0,56.9,0,0,1.54,2.26,0,0.87,0,0,0,53.16,0,15.66,3.16,19.41,0,0,0,2.76,0,0,0,1.61,0,0,0
108-118,0,0.83,0,0.45,3.31,0.56,23.65,0,0,2.87,0.66,1.28,0,1.66,2.22,0,78.93,0,0.47,0,46.53,0,0,0,3.48,0,1.21,0,0,0,0,0.69
120,0,0,0,6.18,14.12,0,10.61,0,0,0,11.78,2.75,0,1.69,0,1.84,61.07,0,0,3.01,49.47,0,0,0,2.38,0,0,0,5.78,1.19,0,0
