stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3.31,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,17.81,1.42,0,0,0,0,3.47,0,1.01,8.78,0,0,0,0,0
 24-34,3.04,0,5.12,0,0,0,1.37,0,2.52,0,0,0,0,1.53,10.64,0,0,1.28,117.1,1.61,2.14,1.73,0,2.78,0,1.58,0.67,12.68,0,0,1.04,0,0
 36-46,15.8,0,49.94,3.38,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0.87,163.7,0,0,0,0,0,0,10.34,0,19.62,0,0,8.64,0,0
 48-58,6.66,1.98,71.97,1.08,0,4.37,15.59,0,0,0,3.14,0,0.41,0,14.17,0,0,4.28,205.15,0,0.9,0.7,0,1.3,0,0,0,26.22,0,0,5.89,0,1.97
 60-70,13.09,0,93.7,0,1.19,0,6.86,2.73,0,0,0,0,0,0,26.83,0,0,8.11,244.87,0,0.83,0,1.53,10,0,0,0,25.08,0,3.01,2.95,0,0
 72-82,5.39,0,54.41,0,0,0,6.79,0,0,0,0,0,0,0,6.56,0,0.91,0,90.74,0,0,0,0,4.82,0,0,0,8.62,0,0,0.87,0,0
 84-94,3.92,0,41.49,0,0,0,2.51,0,0,0.93,0,1.31,0,0,8.34,0,1.98,0,43.09,0,0,1.37,0,1.09,0,0,0,18.02,0,0,0,0,0
 96-106,0,0,17.6,0,0,0,2.67,0,0,0,0,0,0,0,2.11,0.98,0,0.61,22.11,0,0,0,0,2.44,0,0,0,0,0,0,0,2.36,0
108-118,0.55,0,22.24,0,0,0,5.88,0,0,0,0,0,0,0,16.73,0,0,0.56,45.08,0,0,0,0,0.67,0,0,0,0,0,0,7.43,2.47,0
120,17.13,0,54.66,0,0,1.98,58.94,0,0,1.69,0,0,1.77,0,39.38,0,0,3.87,344.86,7.88,2.15,2.87,0,8.22,0,0,0,26.12,6,0,21.47,0,0
