stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.94,0,0,0,12.7,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.43,0,0,0,0,0,0,3.81,0,0,0,0
 14-21,2.45,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,0,0,0,0,0,2.47,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,1.17,8.07,0,0,0,0,0,0,0.83,1.04,0,0,0,0,2.12,0,0,0,0,0
 36-46,0.93,0,0,0,0,0,0,0,7.01,67.23,0,0,2.45,25.64,0,0,7.37,0,0,0,0,0,0.83,2.27,0,0,0.69,0
 48-58,0.55,0,0,3.27,0,0.4,0.48,0,1.28,12.68,0,0,7.04,93.53,0,0,11.65,4.14,0,0,0,0.64,0.49,2.88,1.92,0,2.54,0
 60-70,0,17.66,0,18.45,4.54,0.98,0,0,0,125.52,4.27,0,8.42,121.16,0.64,0.77,2.99,0,0,0,0,1.65,4.78,0,0,0,0,0
 72-82,1.13,11.53,0,15.33,0,3.05,0,0,1.12,29.06,0,0,7.12,216.39,0,3.83,16.1,0,0,0,0,0,3.74,5.15,0,0,7.81,1.19
 84-94,0,4.92,0,21.29,0,0,1.49,0.88,0,40.19,0,0,9.65,269.07,20.03,3.69,12.54,0,0,0,0,11.01,3.05,2.76,2.9,0,7.62,2.34
 96-106,6.1,59.36,0.91,20.28,0.98,4.64,3.8,2.5,4.82,69,0,1.58,5.59,305.96,4.02,4.81,41.19,0,1.65,0.57,0,0,0,0,0,3.89,46.75,5.44
108-118,1.25,7.24,0,34.5,0.96,0,5.21,1.64,0,48.17,0.61,2.34,13.91,325.65,2.52,1.13,38.16,0,0,0.78,0,0,0.54,6.09,0,1.66,25.71,0
120,0,32.08,0,7.76,0,0,2.21,0,1.17,91.6,0,0,3.24,336.65,14.01,1.13,61.23,0,0,0,0,11.51,18.2,0,0,0,17.38,0
