stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,120.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.91,111.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,32.35,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.51,0,0,0,17.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,87.94,0,590.59,0,0,6.32,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,4004.64,13.8,0,0,227.26,0,15.49,0,167.69,6.84,0,0,0,0,0,0
 14-21,0,0,0,0,566.1,223.81,6.21,0,4.56,0,0,0,2.73,0,0,0,1.07,0,0,47.42,1.2,0,7.46,380.71,2.32,0,169.88,0,0,3.35,0.88,23.33,4.6,68.78,0,0,15.47,0,0
 24-34,0,0,0,0,173.87,14.64,4.69,0,52.61,0,2.31,0,6.12,0,0,0,0,0,0,55.46,1.95,0,1.87,543.55,0,0,35.71,0,0,2.37,0,0.7,0,33.29,0,0,31.42,0,0
 36-46,0,0,0,1.41,26.94,4.87,40.18,0,48.1,0,2.33,0,7.53,0,0,32.26,0,0,0,46.97,0.65,0,3.44,790.39,0,0,18.03,0,0,1.58,0,0,0,64.73,0,0,6.39,0,0.85
 48-58,0,2.59,0,0,8.39,1.08,518.16,0,42.11,1.08,10.78,0,4.79,0,0,88.6,3.21,0,0,76.64,0,1.42,0.5,1476.78,0,1.04,17.27,0,0.79,7.4,0,0,0,178.6,0,0,1.56,0,12.53
 60-70,0,0,0,0,4.68,0.94,1026.53,1.01,45.64,0,8.69,1.72,1.76,0,0,67.64,0,0,6.22,29.12,0,0,0,1298.69,0,1.03,2.16,0,0,1.71,0,0,0,442.68,0,0,0.93,0,0
 72-82,0,0,0,0,22.32,5.84,834.74,0,17.92,1.54,13.56,0,0.51,0,0.55,74.03,0.9,0.75,8.68,30.78,0,0,0.49,1065.04,0,1.33,11.75,0,0,0.75,0,0,0,283.28,1.21,0,0,0,0
 84-94,0,0,0.81,0,5.11,0,508.69,0,17.45,0,20.12,9.7,2.98,0,0,61.61,0,0,3.32,33.96,0,0.99,1.02,658.81,0,0,13.38,0,0,6.87,0,0,0,196.23,2.72,1.64,0.6,0.63,10.21
 96-106,0,0,0,0,16.12,0,434,0,12.69,4.2,39.02,0,3.81,0.68,0,85.85,0.79,0,0,12.05,0,0.93,0,352.18,0,0,6.51,0,0,5.61,0,0,0,81.87,0,0,3.11,0,0
108-118,0,0,0,0,9.19,0.96,379.78,0,19.75,1.17,32.49,2.3,3.86,1,0,162.46,0,3.13,0,14.46,0,1.36,0.57,498.73,0,0,15.75,0,0,0.92,0,0,0,44.61,0,0,0,0,0
120,0,0,0,0,3.55,0,319.96,0,19.84,0,40.28,0,0,2.23,1.05,116.41,0,0,0,6.13,0,0,0,679.71,1.87,0,2.92,0,0,0,0,0,0,9.43,0,0,0,0,0
