stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,12.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43,0,0,0,0,0,0,0,0
 14-21,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,10.09,0,0,0,0.83,4.02,0,0,0,0,10.16,0,1.71,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.6,0,2.29,0,0,1.26,0,0,0,0,16.85,0,5.37,0,0.6,70.67,0,4.73,0
 36-46,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,3.76,0,1.18,0,0,0.92,31.82,0,35.09,0.57,0,37.98,0,1.44,0
 48-58,0,0,0,0,0,7.92,0,0,0,0.49,0,0,7.22,0,0,0,0.95,0,0,0.49,21.77,6.45,23.42,1.54,0,23.3,0,0.58,0
 60-70,0,0,3.11,0,0,20.82,0,1.11,0,0,0,0,0,0,5.45,0,0,0,0,0,64.57,0,8.47,0,0,31.01,0,0,0
 72-82,0,0,6.28,0,0,14.5,0,0,1.38,0.83,0,0,1.39,0,5.03,0,3.35,0,0,1.13,84.67,0,4.67,0.53,0,12.94,0,0,4.44
 84-94,0,6.01,0.6,0,0,3.01,0.92,0,14.74,0,0,0,0,0,2.8,0,1,0.57,0,0,45.5,0,9.53,0,0,14.3,0,0,0
 96-106,0,2.47,4.61,0,0.97,7.97,0,1.67,23.06,0,0,0,0,0,10.38,6.7,1.84,0,0,0.92,71.81,0,3.16,0,1.26,15.36,0,0.6,0
108-118,0,0.85,4.08,0,0,4.32,0,0,20.38,0,0,2.2,0,0.44,8.47,17.09,0,2.75,0,0.67,51.8,0,2.42,0,0,14.74,3.18,0,0
120,0,3.73,2.72,13.62,0,11.44,0,0,50.88,0,0,0,1.4,0,1.84,11.48,2.76,0,8.17,0,99.32,0,1.48,0,1.01,15.42,0,0,0
