stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.89,56.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.66,15.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.8,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,53.01,0,0,0,18.97,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.84,1.67,3.03,0,0,1.35,1.05,0,0,0,0,0,0,0,0,13.41,0,0,0,0.8,0,0,0.9,4.25,0,0,4.62,0,3.03,0,0
 24-34,0,0,0.67,0.67,1.32,0,3.28,0,0,0,0.67,0,0,0,0,0,4.4,0,0.72,80.85,0,0,45.91,0,0,2.81,0,0,0,0,7.09,0,55.03,0,0
 36-46,0,0,0,0,0,0,7.42,0,0,0,0,0,0.88,0,0,2.33,0,0,0.74,153.44,0,6.41,23.24,0,0,1.9,0,0,0,0,31.97,0,11.82,0,0
 48-58,0,0,0,0,1.24,0,84.92,0,0,2.06,0,0,0,0,0,1.27,1.09,0,0,215.79,0,5.84,46.85,0,0,0,0,0,0,0,25.95,0,4.7,0,0
 60-70,0,0,0,0,2.96,0,491.05,0,0,4.88,0,0,0,0.98,0,1.57,2.43,0,0,311.25,0,11.31,32.86,0,0,0,0,0,0,0,31.31,0.65,9.84,0,9.54
 72-82,0,0,2.23,0,7.38,2.21,1169.46,0,10.33,20.9,2.23,0.59,0,0,0,9.09,11.34,0,3.83,504.73,0,9.3,82.06,0,0,9.68,0,0,0,0,24.12,0.63,2.57,0,4.39
 84-94,0,0,0,0,20.03,2.98,883.61,0,0,28.7,0,0,0,0,0,5.27,21.86,0.63,0,324.42,1.31,19.66,136.22,0,0,0.85,0,0,0,0,24.18,0.63,7.66,0.78,0
 96-106,0,0,0,0,12.86,0,905.32,0,1.39,26.71,2.87,0,0,0,0,10.38,7.3,1.42,0,367.15,0,10.8,164.05,0,0,5.6,0,0,0,0.71,2.18,0,1.51,0,8.28
108-118,0,0,0,0.74,7.48,1.75,986.82,0.57,6.54,36.34,0,0,0,0.59,0.42,11.74,10.27,0,0,476.1,0,5.98,162.85,0,0.76,4.51,0,0,0,0,5.21,0,8.7,1.13,1.55
120,0,0,0,0,17.96,0,966.36,1.11,0,86.13,2.8,0,0,0,0,4.42,29.29,0,2.43,829.97,0,20.66,161.12,0,0,1.34,0,0,1.83,0,0,0,0,0,0
