stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.23,6.97,88.45,50.65,0,58.37,0,2.69,0,17.4,3.23,1.8,2.5,0,18.35,0,0,16.22,0.86,41.42,0,0,37.26,555.4,42.76,0,11.21,9.84,0,38.46,71.41,5.03,19.26,142.1,184.06,0,0,36.42,0,1.01
 24-34,1.6,2.21,94.21,24.12,0,135.75,0.68,22.07,4.65,25.45,2.34,0,9.3,2.09,68.51,4.56,1.97,2.2,4.12,129.91,14,1.21,64.77,1171.55,11.9,7.35,7.11,0,0,125.61,1.58,13.58,11.03,47.54,295.79,0,0,185.81,0,14.78
 36-46,0,0,118.99,11.3,0,231.85,33.64,28.43,3.74,81.01,1.41,0,6.8,2.84,6.84,6.18,1.58,0,21.63,115.18,5.13,13.69,41.06,996.27,7.89,12.95,8.06,0,0,205.12,0,6.84,11.01,1.38,246.83,0,0,110.97,0,17.94
 48-58,0,0,52.13,9.13,0,418.33,10.82,16.44,20.39,139.15,9.05,0,2.63,1.13,17.82,0,4.14,3.74,8.46,152.72,6.47,28.04,43.82,899.58,6.79,6.6,18.47,0,1.37,146.24,2.68,4.96,7.89,0,207.31,0,1.89,59.41,0,12.46
 60-70,0,0,150.12,10.19,0,839.63,18.32,45.55,8.76,135.18,10.61,0,3.74,20.57,11.96,8.44,3.37,11.23,5.78,218.4,2.01,16.42,17.17,914.05,2.73,14.94,4.02,0,1.61,115.76,0,7.72,4.72,0,131.64,0,5.8,60.06,0,23.87
 72-82,1.78,0,41.98,9.87,0,889.8,12.38,16.77,10.29,120.42,11.79,0.86,4.53,12.38,24.59,9.62,13.17,0,2.05,309.64,3.57,21.52,33.09,848.92,1.18,9,20.96,0,14.79,38.63,0,3.43,4.28,0,102.18,6.61,18.49,111.41,18.01,13.54
 84-94,2.75,0,115.52,7.12,0,639.43,11.15,16.7,4.23,115.47,26.22,4.92,1.83,12.07,32.53,16.96,4.41,5.83,5.22,218.58,0.75,15.15,32.75,465.18,4.78,7.22,17.82,0,0,100.12,0,6.13,10.71,0,55.97,7.42,9.86,98.41,26.47,0.62
 96-106,0.99,0,95.12,29.35,0.97,565.58,13.4,25.48,6.25,118.72,44.37,0,19.31,13.19,27.1,4.92,5.81,11.6,0,241.39,10.23,12.63,19.06,434.16,3.92,9.84,16.52,0,15.62,72.05,0,5.84,2.82,0,21.01,12.71,29.41,102.55,30.58,14.35
108-118,0.98,0.61,107.99,26.78,9.77,523.88,8.73,29.1,5.65,114.17,54.73,0,0.9,18.17,36.72,26.66,8.19,17.43,0.59,257.35,18.22,31.02,35.49,476.44,1.09,11.23,20.58,0,9.18,85.13,0,6.74,7.42,0,12.29,12.88,7.42,108.19,20.18,27.56
120,0,0,132.07,13.94,3.41,480.09,16.25,25.83,1.6,147.5,61.2,0,0,17.55,25.42,25.6,8.13,4.14,1.51,327.22,12.12,31,43.04,791.69,24.03,3.26,18.93,0,80.99,75.74,0,7.63,0,0,10.37,2.82,73.34,101.16,33.27,1.1
