stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.88,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.93,0,0,6.26,0,0,6,0,0,0,0,0,0,0,0,0,0,0.9,0,2.7,61.29,0,0,1.03,0,59.44,1.34,0,0,2,39.57,0,0,0,0,0
 24-34,1.81,0,0,0,7.16,0,0,3.85,0.71,0,0,0,3.69,0,0,0,0,4.22,0,0,0.72,216.61,1.12,0,0,0,3.29,0,0,0.67,0,49.98,0,0,0.73,0,2.44
 36-46,0,0.65,0,0,30.83,0,0,15.61,0,0,0,0,0,0,0,0,1.75,4.5,0,0,0,352.58,0,0,0,0,6.87,0,0,0,0,90.36,0,0,1.27,0,22.44
 48-58,0,0.44,0,0,111.82,1.4,0,28.26,0,3.95,0,0,0,15.06,0,0,7.33,3.91,0,0,4.14,497.73,0,7.16,0,0,0,0,1.65,1.03,0,71.83,0,0,0,0,14.79
 60-70,0.89,0,0,0,242.94,0,0,65.85,0,0,5.1,0,0,0,0.72,0,1.24,7.67,0,0,0,648.97,4.08,0,0,0,0,0,0,0,0,100.2,0,0,0,0,13.32
 72-82,1.81,0,0,0,251.68,0,0.56,40.74,0,0,0,1.18,1.68,0,0,0,6.43,8.12,0,0,0,890.19,4.49,0.61,0,0,0.72,0,2.74,0,0,93.11,0,0,0,4.01,8.14
 84-94,2.72,4.94,0,0,197.96,0,0,35.38,0,1.22,0,0,2.24,0,0.58,0,18.93,18.77,0,0,0.68,469.45,1.57,1.98,0,0,0,0,1.75,0,0,48.5,1.49,0.85,3,0,2.81
 96-106,1.08,2.04,9.78,0.6,271.59,0,4.79,52.24,0,0,0,0,0,2.55,0.9,0,5.4,14.38,0,0,0.57,488.34,6.32,7.17,0,0,0,0,0,0,0,16.72,4.31,2.5,0,1.85,17.12
108-118,0.95,1.8,0.75,0,223.23,0,0,37.79,0,0,0,0,0,1.35,0,2.19,10.8,19.56,3.25,5.5,1.07,580.27,0.43,0.44,0,0,0,0,0.43,0,0,22.17,5.01,0,0,0,11.88
120,0,3.24,0,0,122.02,0,0,46.87,8.73,0,0,0,0,0,0,0,26.03,9.28,0,0,1.86,599.8,0,0,0,12.35,0,0,0,0,0,25.58,0,3.14,0,0,0
