stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,80.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,115.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.76,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.2,9.9,0,0,39.99,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.7,0,0,0,0,28.96,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,306.79,0,0,0,64.72,0,0,0,0,0,8.15,0,0,0,0,0,0
 14-21,0,0,1.24,3.49,8.05,0,15.89,0,0,0,14.56,0,0,0,0,0,0,0,0,0,20.91,0,0,15.13,406.43,68.41,0,2.24,5.12,0,0,0,15.6,2.42,8.58,206.45,0,0,0.86,0,0
 24-34,0,0,2.34,0,1.94,0,88.04,0,0,0,11.97,0,0,0,0,0,0,0,0,0,14.18,0,0,4.41,1272.43,1.42,3.03,3.25,0,0,1.9,0.86,0,0,0.79,403.53,0,0,0,0,0
 36-46,0,0,0,0,0.66,0,287.63,0.68,0,0,21.62,0,0,0,0,0,0,0,0,0,11.76,0,0,1.59,2127.35,0,3.04,0.58,0,0,1.49,0,0,0,0,513.58,0,0,0,0,0
 48-58,0.58,0,0,0,3.15,0,947.61,0,0,0.42,61.51,0,0,0,0,0,0,0,0,6.55,21.65,0,0.52,5.79,3198.46,0,1.48,1.87,0,0,0.56,0.84,0,0,0,574.35,0,0,0,0,4.87
 60-70,0,0,1.76,0,2.54,0,2887.34,0,0,0,130.82,0.63,0,0,5.4,0,0,0,0,7.36,62.09,0,0.89,12.33,3562.75,0,0,8.34,0,0,8.08,0,0,0,0,532.29,0,0.8,0,1.92,3.16
 72-82,0,0,10.77,0,24.57,3.82,4475.54,1.5,1.15,4.18,174.84,10.95,0,0.81,1.86,0,1.59,1.35,6.2,12.21,47.02,0,0.7,2.04,5290.37,0,0.54,0.9,0,0,0.67,0,0,0,0,395.47,1.21,0.52,7.22,2.21,2.27
 84-94,0,0,10.87,0,17.94,0,2805.9,1.27,0,2.44,132.61,18.14,0,0,0,0,6.49,2.12,0,0,39.72,0,2.24,4.81,3165.32,0,12.94,2.86,0,0,5.12,0,0,0,0,290.69,0.91,0,3.31,1.34,13.1
 96-106,0,0,15.74,0,21.84,1.09,3679.66,0,0.8,0,183,36.35,0,2.51,1.67,0.81,11.03,0.75,6.5,0,48.38,0,1.67,5.8,3623.9,4.18,0.57,7.34,0,0,7.76,2.06,0,0,0,198.37,0,3.45,3.33,0.59,2.71
108-118,0,0,2.74,0,26.6,3.93,3115.82,0,2.32,0.5,156.31,7.22,0,4.43,4.23,0,1.01,0.48,8.18,0,62.68,1.08,0,6.92,3835.23,0.54,1.07,4.25,0,2.43,2.66,0,0,0,0,171.54,0.71,0,3.78,1.28,0
120,0,0,8.73,0,29.44,0,1616.21,1.26,1.55,0,143.85,9.78,0,0,8.09,4.13,0,0,6.54,0,59.71,0,8.42,0,3787.06,1.33,17.75,13.26,0,0,6.66,0,0,0,0,204.06,0,0,5.74,0,0
