stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,62.82,1072.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.18,0,0,0,0,0,0,0,0,0
  5-6,29.54,447.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.14,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.2,0,0,0,0,0,13.67,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,36.49,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.06,0,0,0,15.45,0,0,0,0,0,15.67,0,0,0,0,0,0,0,0,0,0,0,133.26,0,0,0,11.31,5.07,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.23,14.03,0,0,26.5,0,0,0,0,5.6,0,2.46,0,2.36,0,0,4.19,0,0,0,0,0.94,58.33,0.94,7.11,12.08,0,2.81,2.16,5.94,5.82,8.28,46.22,0,0,0,0
 24-34,0,0,0,2.12,3.01,0,0,60.28,0,0.95,0.99,0.65,10.77,0,0,0,1.22,0,0.61,3.81,0.72,5.23,0.96,0,0,136.31,0,91.66,2.08,0,1.01,0,17.51,0,1.26,159.51,0,0,0,2.19
 36-46,0,0,0,1.75,6.96,0,0,56.56,0,0,0,6.49,9.81,0,0,9.07,0.61,0.72,0,4.5,4.77,2.46,0,0,0,76.73,0,30.89,0.84,0,0,0,34.84,0,0,139.24,0,0,0,5.07
 48-58,0,0,0,2.15,3.2,0,0,383.35,0,0.46,0,9.31,11.75,0.39,0,0,1.82,16.7,0,1.34,8.09,6.81,0,0,2.34,89.99,0,7.47,0.92,0,0,0,11.02,0,0,75.17,0,0.38,0,10.58
 60-70,0,0,0,0,0,0,0,1313.14,0,4.47,1.88,25.62,8.07,0,0.78,5.26,1.59,95.7,0,1.06,0,4.77,0,0,0,68.04,0,4.1,0,0,1.49,0,8.35,0,0,33.9,0,0,0,12.49
 72-82,0,0,0,1.57,5.99,1.2,0,2628.9,0.55,1.27,2.11,84.3,16.32,0,0,1.09,6.94,122.91,0,5.43,5.4,27.09,0,0,3.56,125.33,0,1.96,1.45,0,0,0,24.42,0,0,17.56,0,3.66,2.65,8.31
 84-94,0.62,0,4.85,5,11.39,0.84,0.76,2424.82,3.25,0,2.42,84.15,43.03,0,0,0,14.92,56.67,0,10.45,0,15.3,0.65,0,6.13,69.79,0,4.1,9.85,0,1.31,0,22.46,0,0,14.89,2.29,1.27,1.2,0.7
 96-106,0,0,3.56,16.1,10.91,4.59,0,2898.96,0,0.62,0,100.2,49.54,0,0,11.37,24.27,34.77,0,2.3,0,14.48,0,0,1.81,108.04,0,12.04,1.37,0,3.43,0,21.44,0,0,15.07,1.23,9.86,0.59,9.02
108-118,0,0,1.62,20.88,19.89,3.1,3.54,2170.57,1.81,1,0,81.28,72.06,0,0,7.85,17.04,55.89,0,6.57,4.23,24.04,0.48,0.63,4.39,136.38,0,4.84,0.61,0,6.68,0,30.11,0,0,12.48,4.13,0.49,0,0
120,0,0,0,4.83,35.91,0,1.6,1022.9,1.66,2.58,0,132.41,32.17,0,2.63,9.81,10.4,9.41,0,5.02,1.79,0,0,0,3.54,87.42,0,10,3.55,0,1.8,7.49,18.86,0,0,20.44,0,4.7,0,0
