stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.66,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,7.31,0,0,0,0,3.85,0,0,0,0,0,0,0,54.56,4.38,0,0,8.53,0,0,0,0,0,9.29,0,0,0,0
 14-21,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,1.75,0,0,0,34.55,0,1.24,0,0,14.82,0,2.38,0,0
 24-34,0,0,0.77,0,0.73,0,0,0,0,0,0,1.75,0,0,4.09,0,0,89.45,0,0.98,1.16,0,85.67,0,0,0,0,63.32,0,7.96,0,0
 36-46,0,0,0,0,5.84,0,0.96,0,0,0,0,0,0,0,0,0,0.59,167.06,0,1.15,0,0,98.72,0.68,0,0,10.68,57.09,0,5.85,0,0
 48-58,0,0,9.21,0,6.29,0,0,1.14,0,0,2.2,0.4,1.25,0,0,0,0.95,127.48,0,2.96,0,0,52.18,0,0,0,0,36.99,0,4.11,0,0
 60-70,0,0,5.81,0.7,8.91,0,0,2.63,0,0.63,0,0,0.84,0,4.53,0,0,108.68,0,6.89,9.82,0,54.58,0,0,0.6,0,53.33,0,5.75,0,0
 72-82,0,0.69,2.75,0,45,0,0,7.1,0,0.59,13.39,0,0,0,3.56,1.72,0.95,158.73,0,9.59,4.56,0,35.39,0,0,0,0,24.56,0,5.34,0,0
 84-94,0,0,20.91,0,67.5,2.48,0,3.42,1.57,0,10.96,0,0.8,0,0,1.85,0,133.86,0,4.85,8.84,0,68.63,0,0,0,0,21.11,4.45,3.67,0,9.74
 96-106,0,0,33.34,0,146.31,0,0,1.08,0.97,0,8.62,1.12,0.92,1.54,0.78,0,0.9,133.57,0,9.63,3.67,0,85.14,0,0,0,0,12.29,2.75,2.12,1.67,0
108-118,0,0,13.11,0,195.59,0.75,0,2.85,1.82,0,6.22,1.08,2.86,0,2.31,1.06,0,120.74,0,8.95,0.74,0,53.76,0,0,0,0,2.13,4.89,5.7,0,0
120,0,0,48.7,0,81.71,0,0,9.78,6.87,0,0,1.77,1.69,0,0,0,0,232.85,0,21.64,0,0,60.21,0,0,0,0,18.97,2.24,6.37,0,0
