stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.45,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,393.98,247.13,0,27.25,0,0,0,0,0,0,0,0,47.16,0,0,0,0,0,0,0,0,0,0,68.04,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0
  7-9,61.57,0,0,58.1,0,0,0,0,0,0,0,0,150.9,0,0,0,0,0,0,0,0,0,0,30.72,0,0,0,22.98,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.97,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,382.09,0,0.84,0,0,0,1,0,2.11,6.49,0,0,0,0,0
 24-34,0,0,0,0,13.6,0.83,9.87,0,0,0,3.13,0,0,0,0,0,0,0,2.41,0,3.92,0,0,2471.5,0,86.29,0,0,3.61,0,0.65,0.68,36.88,0,0,7.91,0,0
 36-46,0,0,0,0,1.14,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,2.99,4053.81,0,72.42,0,0,0,0,0,0,41.39,0,0,0,0,0
 48-58,0,0,0,0,6.38,0,133.72,0,0.44,0,7.97,0,0,0,0,0,5,0,0,3.06,14.59,0,4.87,2572.73,0,39.86,0,0,0.81,0,0.46,0,34.99,0,0,1.58,0,12.11
 60-70,0,0,0,0,0.8,0,215.59,0,0,1.67,22.34,0,0,0,0,0,0,0,0,0,4.16,0,0,2171.7,0,30.58,0,0,0,0,0,0,11.66,0,0,0,0,21.95
 72-82,0,0,0.61,0,4.49,0.88,291.24,0,0,0.94,8.89,0.7,0,0,0,0,0,0,0,0,14.6,0.72,0.56,1482.51,0,23.96,1.34,0,3.16,0,0,0,16.5,0,0,0,0,0
 84-94,0,0,0,0,11.87,0,213.86,0,0.6,2.76,11.76,0,0,0,0.74,0,0,0,0,0,8.49,0,2.77,915.39,0,48.1,2.01,0,0.58,0,0,0,6.32,0,0.93,5.22,0,0
 96-106,0,0,0,0,12.85,1.95,193.86,0,1.05,0,13.4,0,0,2.23,1.01,1,0,1.72,0,0,13.23,0,0,765.68,0,42.84,3.9,0,1.14,0,1.3,0,2.36,2.03,1.2,0,1.12,0
108-118,0,0,0,0,4.88,2.87,155.17,0,0,0,1.21,0.5,0,0,0,0,0.49,0,1.06,0,10.37,0,0,1040.8,4.26,47.71,1.81,0,0.68,0,0,0,0,0,0,0,1.03,0
120,0,0,0,0,0,0,199,14.88,4.7,0,12.29,0,0,0,0,0,0,0,0,0,1.63,0,0,1260.82,0,70.46,0,0,1.25,0,0,0,2.1,0,0,0,0,0
