stage,blastomeres,epidermis,eye,glial,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste
  5-6,14.7,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.79,0,0,0,0,0,24.27,0,0,0
 10-12,0,0,0,0,0,0,21.52,0,10.3,0,0,0
 14-21,0,0,1.54,0,0,0,4.19,0,0,0,1.72,0
 24-34,0,0,0,0.83,0,0,2.32,0,0,0,2.39,0
 36-46,0,6.53,0.63,0,0,0,5.13,1.01,0,0,0.86,0
 48-58,0,0,3.38,0.98,0.87,0,2.4,0,0,0,2.56,0
 60-70,0,0,0.78,3.03,0,0,1.03,0.65,0,0,1.56,0
 72-82,0,0,2.34,0.53,0,0,8.8,0,0,0.53,0,0
 84-94,0,0,0,0,0,0,0,0.66,0,2.21,0,2.5
 96-106,0,0,0,0,0,0,0,0,0,0.57,0,0
108-118,0,0,0,0,0,1.82,0.75,1.41,0,0,0,0
120,0,0,0,0,0,0,11.9,0,0,0,0,0
