stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.43,0,9.93,0,0,0,0,0,0
 14-21,0,0,0,1.8,0,0,0,0,0.83,0,0,22.1,0,0,0,0,7.41,0,0,0
 24-34,0,0.66,0,0.68,0,0,0,0,0,0,0,136.55,1.58,0,0,0,23.95,0,0,0
 36-46,0,0,0,14.91,0,0,0.67,0,0.78,0,0.56,356.77,2.67,0,0,0,48.02,4.77,0,0
 48-58,0,2.56,0,69.62,0,0,3.19,0,7.42,0,1.18,490.38,6.96,0,0,0,54.41,0,0,0
 60-70,0,0,0,84.3,0,0,2.91,0,3.45,0.81,0,706.83,1.19,0,0,2.29,130.78,0,0,0
 72-82,0,0.82,0,64.72,0,1.56,3.33,0,1.88,0,0,375.03,0,0,0,0,45.94,0,0,0
 84-94,0,0,0,46.34,0,0,4.44,0,0.65,0,0,249.7,5.82,0,2.56,0.73,28.25,0,0,4.6
 96-106,0,0,3.88,42.55,0,0,7.13,0.85,0,0,0,174.55,0.57,0,0,9.2,12.52,0,0,0
108-118,0,3.43,0,34.68,0,0,0,0,1.68,0,0,229.66,2.02,0,0,0,14.64,0,1.86,0
120,0,11.3,0,15.8,1.21,0,8.27,8.18,0,0,0,326.4,0,0,0,0,13.68,0,0,0
