stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,35.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.11,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,24.69,0,0,5.71,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,48.32,0,0,0,0,0,14.34,0,0,0
 14-21,0,1.09,2.83,0,0,6.72,0,0,0,0,0.81,0,5.51,0,0,0,0,1.86,0,0,2.6,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.6,0,14.98,0,0.77,0,0,0,0,0.64,9.09,0
 36-46,0,0,0,2.18,0,1,0,0.65,0,0,5.03,0.77,56.43,0,2.04,0,0,0,0,0,5.11,0
 48-58,0,0,0,4.03,0,4.48,0,0,0,0,3.53,0.63,41.51,0,0,0,0.73,0,0,0,7.59,0
 60-70,0,0,0,21.01,0,3.03,0,0,4.23,0,13.3,1.25,52.69,0,0,0,0,0,0,0,6.16,0
 72-82,0,0,0,0.55,1.32,2.36,0,0,0,0,5.87,0.7,24.02,0,0,0,0,0,0,0,1.48,1.3
 84-94,0,0,0,3.28,0,0,0.68,0,0.59,0,1.91,0,26.76,0,0,0,0,0,0,0,2.11,0.65
 96-106,0,0,0,4.54,0,1.11,0,0,0,1.17,3.8,0,17.85,0,0,0,0,0,0,0,0,0.58
108-118,0,0,0.85,7.34,0,1.19,0,0,0,0,6.29,0,22.39,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.31,0,0,0,0,2.49,0,3.15,1.93,0,0,0,0,0,0,0,0
