stage,eye,gut,mesenchyme,neural,presomitic.mesoderm
 14-21,0,0,0,0,3.68
 24-34,0,0,0,1.27,0
 48-58,0,0,0,1.89,0
 72-82,0.91,0,0.82,0,0
 96-106,0,5.54,0,0,0
108-118,0,0,0,1.43,0
