stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,15.14,0,0,0,0,0,0,0,0,0,0,0,0,11.82,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.69,0,0,3.49,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.79,0,0,0,0,0,0,0.65,0,0,13.1,0,0,0,0,0.91,0,0,0,0
 36-46,0,0,0,0,0,0.72,0,0,0,0,0,1.44,0,42.37,0,0,0,0,3.83,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.13,0.5,0,75.94,0,0,0,0,0.84,0,0,0,2.23
 60-70,0,0,0,16.98,0,0,0,0,0,1.85,2.29,0,0,99.04,0,0,0,0.78,5.71,1.51,0,1.94,0
 72-82,0,0,0.53,14.04,0,4.56,0.56,0,0,0.57,12.47,1.88,0,249.66,1.5,0,0,0,2.44,1.7,0.51,7.52,0
 84-94,0,0,0,18.01,0,11.69,0,3.18,0,1.67,8.13,1.54,0,136.16,0,0,0,0,0.79,2.79,0,2.43,0
 96-106,0,0.67,0,17.26,0.64,1.52,0,0,2.93,0.6,17.9,2.67,0,170.63,0,0,0,0,2.39,0,0,9.82,0
108-118,0,0,0,35.46,0,8.49,1.1,0,0,1.77,35.65,1.21,0,243.66,0,0,0,0,0,0,0,2.14,0
120,0,4.93,0,20.2,0,0,0,0,0,0,8.48,0,1.64,204.32,0,14.75,0,0,1.64,0,0,1.05,0
