stage,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,notochord,olfactory,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,11.14,0,0,0,0
 14-21,2.88,0,0,0,0,0,0,0.89,0,0,1.41
 24-34,0,0,0,0,0,0,1.88,0,0,0,1.7
 36-46,0,0,0,0.56,0.63,0,0,0,0,0,4.82
 48-58,0,0,1.13,0,0.76,0,0.51,0,0,0,0.76
 60-70,0.6,0.68,2.04,0,1.94,0,0,0,1.02,0.82,1.06
 72-82,0,0.74,0,0,0,0,0,0,0,6.94,1.01
 84-94,0,0,0,0,1.42,0,2.19,0,0,0,2.46
 96-106,0,5.04,0,0,0,0,0,0,0,0,6.87
108-118,0,2,0,0,0,0.43,2.85,0,0,0,4.65
120,0,0,0,0,0,0,31.71,0,0,0,0
