stage,epidermis,eye,fin.epithelia,neural,olfactory,periderm,spinal.cord
 10-12,0,0,0,4.03,0,0,0
 24-34,0,0,0,0,0,2.11,0.72
 36-46,0,0,0,0,0,0.73,0
 48-58,0.44,0.57,0,1.07,0,0.59,0
 84-94,3.61,0,0,2.88,0,1.66,0
 96-106,0,0,0,0,0.89,3.71,0
108-118,2.8,0,0.68,0.85,0,2.02,0
